player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,_provenance
Roman Hemby,144891,HB,INDIANA,16,230,37,14,28.4,317,0,1118,0,9,37,773,62.6,26,57,190,1,106,87.4,81.0,86.5,,37.6,67.2,82.0,57.3,82,0,166,17,175,270,0,0,18,247,7,1118,773,3.36,4.9,0.95,116,2025_this_team
Kaelon Black,138448,HB,INDIANA,16,186,30,16,40.7,421,0,1034,0,2,30,646,58.2,26,51,190,2,88,74.1,83.4,84.8,,51.0,54.3,85.1,59.0,40,1,42,5,137,224,0,0,7,191,10,1034,646,3.47,5.6,0.31,96,2025_this_team
Turbo Richard,190199,HB,BOSTON COL,11,145,26,8,40.1,300,0,748,2,12,26,547,81.9,15,47,121,2,96,70.2,72.5,52.2,,36.5,55.0,80.1,54.5,71,1,212,30,251,163,0,0,40,175,9,748,547,3.77,5.2,0.84,48,arrival_2025_at_BOSTON COL
Khobie Martin,188671,HB,INDIANA,14,78,16,9,42.2,213,0,505,0,0,16,301,78.2,15,26,190,0,40,85.4,89.6,81.5,,80.1,62.0,86.5,56.3,36,0,14,1,19,109,0,0,1,79,6,505,301,3.86,6.5,0.74,38,2025_this_team
Lee Beebe Jr.,163009,HB,INDIANA,3,27,9,2,22.5,45,0,200,0,0,9,97,115.5,9,14,190,1,10,42.3,72.1,0.0,,17.4,59.4,73.7,60.0,24,1,7,1,11,29,0,0,1,28,1,200,97,3.59,7.4,0.64,14,2025_this_team
Solomon Vanhorse,78573,HB,INDIANA,5,9,0,0,0.0,0,0,48,0,0,0,21,0.0,1,3,190,0,5,73.3,73.4,71.7,,,,70.7,60.0,12,0,0,0,0,11,0,0,0,9,0,48,21,2.33,5.3,,3,2025_this_team
Sean Cuono,198535,HB,INDIANA,1,2,1,0,0.0,0,0,17,0,0,1,11,275.0,0,1,190,0,1,65.5,72.6,66.8,,,59.8,69.7,,9,0,0,0,1,2,0,0,0,2,0,17,11,5.5,8.5,0.0,1,2025_this_team
