player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,_provenance
Nate Sheppard,198337,HB,DUKE,14,200,63,14,34.3,388,0,1132,2,14,63,711,115.5,35,52,154,0,47,91.2,89.5,86.8,,54.0,75.3,90.9,60.6,60,0,286,37,236,222,0,0,43,237,11,1132,711,3.56,5.7,1.21,145,2025_this_team
Anderson Castle,122234,HB,DUKE,14,115,16,4,32.8,160,0,488,1,3,16,313,39.2,8,39,154,0,41,88.4,76.1,83.6,,36.9,65.1,79.8,44.6,66,0,111,17,134,121,0,0,18,132,12,488,313,2.72,4.2,0.83,74,2025_this_team
Jaquez Moore,143866,HB,DUKE,10,40,7,3,41.3,86,0,208,1,5,7,115,76.7,5,9,154,0,8,81.0,71.6,78.9,,83.7,60.3,73.3,41.4,32,0,41,5,42,43,0,0,8,45,1,208,115,2.88,5.2,0.98,31,2025_this_team
CJ Campbell Jr.,143876,HB,RUTGERS,3,22,4,2,33.6,40,0,119,0,0,4,83,68.6,4,6,278,0,6,77.5,70.9,76.1,,82.0,55.3,69.5,59.5,22,0,0,0,10,25,0,0,0,22,0,119,83,3.77,5.4,0.0,16,arrival_2025_at_RUTGERS
Peyton Jones,170051,HB,DUKE,3,10,2,0,0.0,0,0,34,1,0,2,22,33.8,0,2,154,0,3,74.0,60.0,74.9,,53.1,49.0,63.6,,8,0,23,3,21,10,0,0,5,13,1,34,22,2.2,3.4,1.1,7,2025_this_team
Travis Bates,162692,HB,DUKE,2,9,2,1,68.4,39,0,57,0,0,2,27,66.7,1,2,154,0,1,72.5,64.6,71.3,,,,63.7,60.0,39,0,0,0,0,14,0,0,0,9,0,57,27,3.0,6.3,,8,2025_this_team
