player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Keon Keeley,175865,ED,ALABAMA,6,0,0,103,60.1,,,,,,91.7,,,70.1,0,0,0,2,0,0,0,15,0
Brock O'Quinn,175866,LS,SMU,1,0,0,287,,,,,,,60.0,,,62.8,0,0,0,0,1,0,0,0,0
Kolby Peavy,175867,CB,ALABAMA,4,0,0,103,,,,,,,65.3,,,68.4,0,0,0,0,8,10,0,4,1
Yhonzae Pierre,175869,ED,ALABAMA,13,0,0,103,59.0,,,,,,59.9,,,67.9,0,0,0,36,0,0,0,5,0
Walter Sansing III,175872,CB,ALABAMA,2,0,0,103,,,,,,,69.6,,,70.5,0,0,0,0,4,0,0,4,0
Conor Talty,175874,K,ALABAMA,15,0,0,103,,76.3,,,86.6,,63.9,,,76.5,0,0,71,0,74,0,0,0,0
Conner Warhurst,175875,S,ALABAMA,2,0,0,103,,,,,,,62.4,,,65.6,0,0,0,0,9,0,0,0,0
Lane Whisenhunt,175876,ED,ALABAMA,2,0,0,103,,,,,,,62.3,,,64.9,0,0,0,0,8,0,0,0,0
Richard Young,175877,HB,ALABAMA,1,0,0,103,,,,,,,60.4,,,63.3,0,0,0,0,2,0,0,0,0
Bobby Jamison-Travis,175881,DI,AUBURN,12,0,0,115,58.0,,,,,,57.8,,,67.6,0,0,0,39,0,0,0,1,0
Brayden Slade,175884,S,FLORIDA,1,0,0,163,59.9,,,,,,60.0,,,61.1,0,0,0,1,0,0,0,0,0
Eugene Wilson III,175886,WR,FLORIDA,2,0,0,163,60.0,,,60.0,,,60.1,61.0,,64.4,0,0,0,1,0,2,0,2,0
Leon Bell,175895,T,CAL,2,0,0,130,,,60.0,,,,60.9,,,61.9,0,0,5,0,0,0,0,0,0
Kelley Jones,175896,CB,MISS STATE,13,0,0,227,90.3,,,,,,78.2,,,79.6,0,0,0,59,1,0,0,27,0
Ray Lotten,175897,TE,SM HOUSTON,9,0,0,281,,,70.7,,,,61.3,,,75.0,0,0,32,0,0,36,26,0,0
Daniel Blood,175899,WR,MISSOURI,10,0,0,229,,,,,,,65.4,,,69.5,0,0,0,0,0,47,0,0,0
Nick DeLoach Jr.,175900,CB,MISSOURI,13,0,0,229,,,,,,,69.6,,,81.0,1,0,0,0,59,6,44,37,5
Jordon Harris,175904,TE,MISSOURI,12,0,0,229,,,75.4,,,,68.0,,,67.1,0,0,60,0,0,32,41,0,1
Gabarri Johnson,175905,QB,OREGON ST,1,0,0,265,,,,,,,60.0,,60.0,63.3,0,0,0,0,0,0,1,0,0
Marquis Johnson,175906,WR,MISSOURI,7,0,0,229,,,60.0,62.7,,67.6,64.4,,,28.7,1,1,2,0,0,4,22,0,1
Shamar McNeil,175907,CB,MISSOURI,1,0,0,229,,,,,,,47.9,,,66.3,0,0,0,0,3,0,0,0,0
Tommy Reese,175910,LB,MISSOURI,1,0,0,229,,,,,,,69.0,,,64.2,0,0,0,0,1,1,0,0,1
Logan Reichert,175911,C,MISSOURI,5,0,0,229,,,70.4,,,,63.6,,,63.3,0,0,20,0,0,0,0,0,0
Jamal Roberts,175912,HB,MISSOURI,12,0,0,229,,,,43.5,,,69.2,,,73.2,0,0,0,0,10,22,4,32,0
Serigne Tounkara,175914,ED,CAL,2,0,0,130,60.0,,,,,,61.4,,,65.5,0,0,0,1,4,0,0,0,0
Sam Williams,175915,DI,MISSOURI,1,0,0,229,,,60.0,,,,61.8,,,68.8,0,0,6,0,0,0,0,0,0
Tree Babalade,175918,T,S CAROLINA,1,0,0,289,,,60.0,,,,60.1,,,64.0,0,0,2,0,0,0,0,0,0
Trovon Baugh,175919,G,S CAROLINA,12,0,0,289,,,75.8,,,,65.6,,,73.0,0,0,47,0,0,0,0,0,0
DJay Braswell,175920,HB,GA STATE,5,0,0,175,,,,54.3,,,58.5,,,67.2,0,0,0,0,2,17,0,1,0
Nyck Harbor,175923,WR,S CAROLINA,11,0,0,289,,,,54.7,,,74.6,,,73.3,1,0,0,0,0,55,46,0,3
Tyshawn Russell,175926,WR,SYRACUSE,5,0,0,304,,,,59.6,,,73.5,,,72.1,0,0,0,0,2,15,8,5,1
Jatavius Shivers,175929,T,S CAROLINA,6,0,0,289,,,67.9,,,,63.4,,,66.3,0,0,25,0,0,0,0,0,0
Vicari Swain,175930,CB,S CAROLINA,12,0,0,289,60.0,,,60.0,,,62.6,91.2,,71.9,0,0,0,1,0,1,0,45,0
Dalton Brooks,175932,S,TEXAS A&M,12,0,0,312,59.8,,,,,,67.7,,,43.0,0,1,0,39,0,0,43,27,2
Tommy Colligan,175933,ED,TEXAS A&M,13,0,0,312,,,,,,,69.7,,,79.4,1,0,0,0,81,58,0,7,1
DJ Hicks,175935,DI,TEXAS A&M,12,0,0,312,58.8,,,,,,62.9,,,71.8,0,0,0,21,0,0,0,18,0
Chantz Johnson,175936,LB,TEXAS ST,12,0,0,314,59.7,,,,,,61.9,,,29.7,0,2,0,5,73,61,6,45,1
Rylan Kennedy,175937,ED,TEXAS A&M,13,1,0,312,59.7,,,,,,64.8,,,79.7,1,0,0,2,58,0,45,50,1
Bravion Rogers,175941,CB,TEXAS A&M,13,1,0,312,,,,,,,65.9,,,47.2,4,1,0,0,24,0,51,83,2
JR Rosenberg,175942,S,TEXAS A&M,2,0,0,312,,,,,,,38.0,,,69.5,0,0,0,0,5,0,0,3,0
Mason Rohmiller,175946,K,VANDERBILT,2,0,0,333,,60.0,,,,,60.0,,,62.5,0,0,2,0,0,0,0,0,0
Aloali'i Maui,175947,G,SO MISS,1,0,0,296,,,60.0,,,,60.0,,,62.1,0,0,2,0,0,0,0,0,0
Cliff Mosley,175948,DI,LA MONROE,11,0,0,209,66.3,,,,,,61.5,,,28.1,0,1,0,37,0,0,0,4,0
Justin Cryer,175949,LB,FLORIDA ST,12,0,0,167,60.6,,,,,,67.6,,,68.8,0,0,0,42,14,10,28,3,1
Joep Engbers,175950,G,LIBERTY,12,0,0,206,,,78.0,,,,60.2,,,28.4,0,1,56,0,0,0,0,0,0
Alexander Capka-Jones,175953,WR,ILLINOIS,5,0,0,187,,,,,,,60.7,,,67.2,0,0,0,0,1,22,0,0,0
Collin Dixon,175954,WR,ILLINOIS,10,0,0,187,,,,,,,61.2,,,29.5,0,1,0,0,1,4,9,25,0
