player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Marcus Bleazard,144293,LB,NAVY,6,2,0,100.0,0,0,237,0,0,55.0,62.7,80.7,67.2,65.7,46.0,0,5,0,0,24,25.0,5,0,0,104.2,4,1,0,82,0,38,103,6,0,0,6,0,0,97,17,48,15,10,13,1,4,6,0,36,16,9.0
Randy Franklin,144307,S,CHARLOTTE,12,10,0,87.0,0,1,136,0,0,47.1,60.5,85.4,57.9,83.0,86.1,0,0,0,0,40,7.6,5,1,2,138.0,20,0,0,166,2,217,432,12,0,0,12,0,198,420,3,212,54,10,51,1,23,0,2,234,136,11.7
Dylan Goffney,144361,WR,SMU,2,0,0,,0,0,287,0,0,,59.9,67.1,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,
Isaiah Nwokobia,144373,S,SMU,12,22,0,72.1,0,0,287,1,0,60.1,67.4,86.4,58.9,80.0,65.1,0,0,0,2,52,14.3,15,5,1,96.9,31,0,0,242,8,435,725,8,0,0,8,0,338,717,11,279,129,24,68,1,43,0,2,398,131,12.8
Jalen McMurray,144393,S,TENNESSEE,13,9,1,70.2,1,0,307,0,0,68.8,71.7,10.5,85.2,75.2,76.4,0,3,0,0,71,10.3,6,3,3,104.8,33,3,0,102,2,326,551,9,0,0,9,0,61,542,16,209,377,25,43,4,47,6,2,339,220,10.3
Bobby Salla Jr.,144398,CB,FIU,7,2,0,80.0,0,0,166,0,0,65.1,66.9,80.2,58.7,68.9,56.5,0,0,0,0,15,20.0,3,0,0,123.8,8,0,0,34,0,70,119,2,0,0,2,0,4,117,2,47,79,5,10,2,10,0,1,57,31,7.1
Jalen Satchell,144399,DI,MICH STATE,8,5,0,100.0,0,0,223,0,0,57.8,53.1,80.9,53.1,53.9,80.4,0,2,0,0,18,5.9,1,0,0,118.8,1,1,0,1,0,4,173,172,21,141,0,10,0,1,81,88,0,10,11,0,1,3,0,18,12,18.0
Jadon Canady,144405,CB,OREGON,15,13,0,45.9,0,2,264,0,0,88.0,85.5,89.4,53.9,74.7,70.4,1,4,0,2,11,12.2,6,4,2,39.4,17,0,0,81,27,344,603,21,0,0,21,0,128,582,18,241,346,12,30,1,37,5,1,104,61,6.1
Elijah Champaigne,144407,DI,TULANE,12,2,0,,0,0,319,0,0,,52.2,79.0,57.2,48.8,75.5,1,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,103,103,18,35,4,46,0,0,62,41,0,1,2,0,0,3,0,0,0,
Devean Deal,144411,ED,TCU,13,20,3,63.6,1,1,305,1,1,59.4,75.1,64.7,74.1,74.2,46.0,6,29,0,0,15,20.8,15,1,2,106.6,7,4,0,162,0,83,802,613,0,0,611,2,0,189,358,361,26,26,37,4,11,39,1,56,30,8.0
