player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Nate Adebayo,139412,HB,CARSON,1,3,0,0,0.0,0,0,3,0,0,0,2,0.0,0,0,799,0,1,67.3,53.3,68.5,,69.7,58.1,55.4,,2,0,0,0,2,3,0,0,0,3,0,3,2,0.67,1.0,0.0,2
Xavier Tyler,180003,HB,WABASH,1,3,1,0,0.0,0,0,9,0,0,1,15,166.7,0,0,1167,0,3,67.3,59.7,66.9,,,,59.7,,5,0,0,0,0,3,0,0,0,3,0,9,15,5.0,3.0,,0
Trent Grotjan,180045,QB,WEBINT,1,3,0,0,0.0,0,0,15,0,0,0,6,0.0,1,0,1246,0,2,69.1,54.2,72.7,48.3,,,63.1,60.0,10,0,0,0,0,13,0,0,0,3,0,15,6,2.0,5.0,,1
Semaj Peele,182188,QB,ARKBC,1,3,0,0,0.0,0,0,-4,0,0,0,3,0.0,1,1,1515,1,0,17.1,27.6,72.4,35.9,,,36.7,60.0,22,0,0,0,0,14,22,1,0,2,0,18,32,10.67,6.0,,2
Spencer Arceneaux,144992,QB,W ALABAMA,1,3,0,0,0.0,0,0,15,0,0,0,4,0.0,1,2,408,1,0,15.1,56.3,72.4,47.1,,,65.3,60.0,11,0,0,0,0,13,8,1,0,2,0,23,7,2.33,7.7,,2
Leslie Richardson,179403,QB,COMESA,1,3,0,0,0.0,0,0,-2,0,0,0,1,0.0,0,0,1281,1,0,25.4,55.8,74.0,68.1,,,37.9,60.0,7,0,0,0,0,12,7,1,0,2,0,5,3,1.0,1.7,,1
Kameron Gatewood,182916,HB,TUSKEGEE,1,3,1,0,0.0,0,0,6,0,0,1,7,77.8,0,0,405,0,1,67.3,62.8,69.3,,72.2,,61.8,,4,0,0,0,0,3,0,0,0,3,0,6,7,2.33,2.0,,2
Gannon Winker,152435,QB,W OREGON,1,2,0,0,0.0,0,0,6,0,0,0,2,0.0,0,0,411,1,0,68.9,36.1,75.0,33.8,,,56.2,60.0,4,0,0,0,0,18,0,0,0,2,0,6,2,1.0,3.0,,2
Gavin Herberg,179352,QB,COMESA,1,2,0,0,0.0,0,0,17,0,0,0,6,0.0,1,1,1281,0,0,68.2,75.8,73.4,70.0,,57.0,72.8,60.0,14,0,0,0,1,8,0,0,0,2,0,17,6,3.0,8.5,0.0,2
Marvin Jones,179363,WR,COMESA,1,2,0,0,0.0,0,0,8,0,0,0,16,0.0,0,1,1281,0,0,66.3,52.5,73.2,,,57.8,53.9,59.8,9,0,-3,1,5,7,0,0,1,3,0,8,16,8.0,4.0,-0.6,0
Mike Flowers,179495,HB,EDNBFS,2,2,2,0,0.0,0,0,3,0,0,2,8,266.7,0,0,860,0,1,66.3,68.3,72.1,,79.7,64.7,65.7,60.0,2,0,16,1,8,4,0,0,1,3,0,3,8,4.0,1.5,2.0,1
Regan Wilson,179698,WR,SW BAPTIST,1,2,0,0,0.0,0,0,1,1,4,0,4,88.9,0,0,1492,0,0,68.8,70.8,77.9,,,72.0,56.1,58.6,4,0,98,7,42,26,0,0,10,9,0,1,4,2.0,0.5,2.33,0
Jahmier Slade,167457,QB,WSRAMS,1,2,0,0,0.0,0,0,1,0,0,0,1,0.0,0,0,1206,0,1,65.5,48.5,65.5,,,,53.7,,3,0,0,0,0,2,0,0,0,2,0,1,1,0.5,0.5,,0
Antoine Williams,166643,QB,FLMMRL,1,2,0,0,,0,0,0,0,0,0,0,0.0,0,0,1471,1,1,67.0,54.7,74.7,53.8,,,58.5,60.0,0,0,0,0,0,26,0,0,0,2,0,0,0,0.0,0.0,,1
C'Quan Jnopierre,165468,WR,STTMFL,1,2,0,0,0.0,0,0,22,2,3,0,4,54.5,2,2,1477,0,1,73.1,73.0,80.3,,,72.6,61.1,61.8,11,0,128,9,34,31,0,0,14,11,0,22,4,2.0,11.0,3.76,1
Demarcus Nelson,182890,HB,NAUSTA,1,2,1,0,0.0,0,0,-3,0,0,1,2,50.0,0,0,1453,0,0,65.5,56.4,67.6,,,60.0,57.4,,1,0,0,0,1,2,0,0,0,2,0,-3,2,1.0,-1.5,0.0,2
James Thorpe,159653,HB,MHMRTI,1,2,0,0,0.0,0,0,3,0,0,0,2,0.0,0,0,999,0,1,65.5,56.3,66.9,,,,57.5,60.0,2,0,0,0,0,3,0,0,0,2,0,3,2,1.0,1.5,,1
Zane Whitson,180481,QB,CARSON,1,2,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,799,0,0,66.8,55.0,73.7,58.5,,,52.6,60.0,2,0,0,0,0,9,3,2,0,0,0,3,1,0.5,1.5,,0
Oscar Ozuna,180602,QB,NAUSTA,2,2,0,0,0.0,0,0,2,0,0,0,1,0.0,0,0,1453,0,2,67.8,49.3,0.0,53.6,,,57.9,60.0,2,1,0,0,0,10,0,0,0,2,0,2,1,0.5,1.0,,0
Christian Matthews-Byrd,154512,HB,PSTEAG,1,2,0,1,96.3,26,0,27,0,0,0,1,0.0,1,1,1476,0,1,68.8,73.8,72.2,,35.3,58.7,76.1,59.1,26,0,0,0,2,7,0,0,0,2,0,27,1,0.5,13.5,0.0,1
