player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Herman McCray IV,83975,TE,LIMEST,1,6.0,0,100.0,,0,0,0,0.0,0,0.09,1,1283,0,70.7,62.9,56.4,67.4,56.1,54.5,18,0,12,3.0,1,33,0,48.5,2,97.0,32,24.2,8,106.3,2,0,9.1,3,19,7,3.5,9.5,0.59
Isaiah Tate,160743,HB,EANMGH,1,0.5,1,100.0,,0,0,0,0.0,0,-1.17,1,858,0,70.7,74.5,68.8,76.0,74.1,0.0,0,0,13,18.8,3,16,0,6.3,2,81.3,13,0.0,0,93.8,2,0,0.0,0,13,12,6.0,6.5,1.0
Antjuan Collins,155436,WR,WSRAMS,1,0.5,1,100.0,,0,0,0,0.0,0,-0.12,1,1206,0,70.7,62.9,75.7,,73.0,0.0,0,0,7,0.0,0,2,0,50.0,2,100.0,2,100.0,2,89.6,2,0,0.0,0,11,10,5.0,5.5,5.5
Luke Terrian,154951,TE,MITECH,1,12.5,0,0.0,0.0,0,1,0,,0,-0.58,0,980,0,,,35.8,19.8,48.1,93.5,29,0,0,19.4,6,31,0,24.1,0,74.2,23,0.0,0,39.6,2,0,6.5,2,0,0,,,0.0
Emmett Boehler,154944,HB,MITECH,1,-0.5,0,0.0,,0,0,0,,0,-0.75,0,980,0,,68.6,61.5,23.7,58.1,0.0,0,0,0,57.1,4,7,0,14.3,0,42.9,3,0.0,0,39.6,2,0,0.0,0,0,0,,,0.0
Quentin Sanders,121821,WR,N GREENVLE,1,7.0,0,50.0,,0,0,0,0.0,0,-0.71,0,390,0,66.7,61.0,52.5,,56.5,0.0,0,0,1,0.0,0,11,0,20.0,1,90.9,10,18.2,2,56.3,2,0,81.8,9,1,0,0.0,1.0,0.1
Brandon Michalak,154904,WR,MITECH,1,17.0,0,0.0,0.0,0,1,0,,0,-0.81,0,980,0,,,53.9,,54.5,0.0,0,1,0,0.0,0,18,0,25.0,0,88.9,16,0.0,0,0.0,2,0,100.0,18,0,0,,,0.0
DJ Powell,154472,WR,UVAWIS,1,9.0,0,50.0,,0,0,0,0.0,0,-0.7,1,1320,0,66.7,61.0,58.6,,58.9,0.0,0,1,8,0.0,0,4,0,25.0,1,100.0,4,0.0,0,20.8,2,0,100.0,4,8,0,0.0,8.0,2.0
Jakoby Johnson,154462,HB,UVAWIS,1,0.5,0,100.0,,0,0,0,0.0,0,-0.01,0,1320,0,70.7,73.6,66.7,80.1,66.5,0.0,0,0,7,42.9,9,21,0,33.3,2,57.1,12,4.8,1,89.6,2,0,0.0,0,11,10,5.0,5.5,0.92
Jaden Meizinger,160968,HB,KEISER,1,3.0,0,100.0,,0,0,0,0.0,0,0.04,0,1475,0,70.7,72.1,56.2,74.9,62.9,0.0,0,0,6,28.6,4,14,0,57.1,2,71.4,10,0.0,0,81.3,2,0,0.0,0,7,1,0.5,3.5,0.7
