player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Jonathan Lorza,154317,T,SHAWBE,1,100.0,0,1094,52.0,58.4,54.8,0,3,35,100.0,100.0,92.9,1,4,1,68,0,0,0,68,36,36,0,68,32,0
Queonte Hilliard,154312,G,SHAWBE,1,100.0,0,1094,58.7,86.2,52.0,0,0,35,100.0,100.0,100.0,0,0,0,68,0,0,0,68,36,36,68,0,32,0
Antavious Zachery,154352,G,SHAWBE,1,100.0,0,1094,67.9,80.6,65.1,0,1,34,100.0,100.0,98.5,0,1,0,67,0,67,0,67,35,35,0,0,32,0
Myron Jones,153134,T,STANKN,1,100.0,0,1455,49.2,8.1,61.2,0,4,25,100.0,100.0,92.0,0,4,0,67,0,0,0,67,28,28,0,67,39,0
Ja'zir Mickens,154325,T,SHAWBE,1,100.0,0,1094,62.1,64.3,59.5,0,2,35,100.0,100.0,97.1,1,2,0,67,0,0,67,67,36,36,0,0,31,0
Caleb Rufener,151397,C,INWSLY,1,100.0,0,1451,72.7,83.7,67.5,0,0,25,100.0,100.0,100.0,0,0,0,66,66,0,0,66,26,26,0,0,40,0
Keating Hinkley,152424,G,W OREGON,1,100.0,0,411,52.9,48.1,57.2,0,2,42,100.0,100.0,97.6,1,2,0,66,0,66,0,66,45,45,0,0,21,0
Luke Watson,151408,T,INWSLY,1,100.0,0,1451,78.2,15.2,92.5,2,1,25,100.0,100.0,90.0,1,4,1,66,0,0,66,66,26,26,0,0,40,0
Micah Visser,151412,G,INWSLY,1,100.0,0,1451,70.1,70.5,69.4,0,0,25,100.0,100.0,100.0,0,0,0,66,0,66,0,66,26,26,0,0,40,0
DC Mickey,151415,G,INWSLY,1,100.0,0,1451,68.8,79.9,66.6,0,0,25,100.0,100.0,100.0,0,0,0,66,0,0,0,66,26,26,66,0,40,0
Steven Frazier,155675,G,VA LYNCHBU,3,100.0,0,406,42.3,7.5,52.3,0,7,41,100.0,100.0,91.5,1,7,0,66,0,36,0,66,46,46,30,0,20,0
