player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa,_provenance
T.J. Finley,124093,QB,GA STATE,7,73.2,190,203,7.9,2.42,1,8,3.7,61.6,125,0,66,10.1,226,14,-0.14,59,175,65.8,63.8,64.7,51.7,6,7,241,1,37.6,19.7,74.4,5.8,13,9,2,4,6,10,4.1,1242,6.1,2025_this_team
Cameran Brown,184894,QB,GA STATE,10,74.1,174,186,8.2,2.71,4,9,4.5,64.5,120,0,71,7.0,209,9,0.14,74,175,51.3,79.1,78.0,68.4,4,1,227,4,49.3,8.5,105.9,2.9,6,17,0,4,13,5,2.2,1293,7.0,2025_this_team
Christian Veilleux,145086,QB,GA STATE,3,64.6,79,87,9.9,2.46,3,3,3.3,47.1,41,0,34,19.6,92,10,-0.25,26,175,73.0,53.2,49.1,68.8,1,3,97,0,33.7,2.9,62.9,1.1,1,4,1,3,3,4,4.1,509,5.9,2025_this_team
