player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,_provenance
Trey Cornist,169975,HB,C MICHIGAN,13,105,29,8,37.4,176,0,470,0,0,29,369,97.1,15,24,134,0,80,87.8,76.0,83.5,,76.3,52.4,76.1,53.2,29,0,0,0,36,151,0,0,1,105,1,470,369,3.51,4.5,0.0,25,2025_this_team
Nahree Biggins,145711,HB,C MICHIGAN,12,104,13,7,39.7,215,0,541,0,1,13,329,36.0,14,27,134,1,79,76.5,76.1,85.5,,75.2,73.2,77.0,48.8,58,0,185,19,83,190,0,0,20,123,2,541,329,3.16,5.2,2.23,25,2025_this_team
Brock Townsend,184677,HB,C MICHIGAN,13,82,16,4,31.8,133,0,418,0,3,16,266,64.9,11,19,134,0,61,85.9,73.9,36.6,,56.1,80.8,75.8,51.1,46,1,145,13,75,183,0,0,14,95,4,418,266,3.24,5.1,1.93,21,2025_this_team
Vaughn Blue,174921,HB,LIBERTY,10,47,4,4,29.8,71,0,238,1,0,4,94,14.5,7,12,206,0,30,82.0,65.3,22.5,,37.3,61.8,71.1,49.4,22,1,119,8,56,133,0,0,12,55,2,238,94,2.0,5.1,2.13,16,arrival_2025_at_LIBERTY
Kadenn Rose,191042,HB,C MICHIGAN,3,8,0,0,0.0,0,0,19,0,1,0,18,25.0,1,2,134,2,6,10.1,34.6,70.5,,0.0,25.3,50.8,,10,0,8,1,3,8,0,0,1,9,0,19,18,2.25,2.4,2.67,2,2025_this_team
Jakivion Calip,171225,HB,C MICHIGAN,2,8,0,1,48.8,20,0,41,0,0,0,11,0.0,1,1,134,0,0,71.9,64.1,70.1,,,59.5,63.4,,20,0,0,0,1,8,0,0,0,8,0,41,11,1.38,5.1,0.0,8,2025_this_team
Jason Philpot-Dixon,191041,HB,C MICHIGAN,1,4,3,0,0.0,0,0,12,1,0,3,10,187.5,0,1,134,0,4,68.6,56.6,69.1,,,28.1,65.4,,6,0,0,0,1,4,0,0,1,4,0,12,10,2.5,3.0,0.0,0,2025_this_team
Germanuel Tanelus,171243,HB,C MICHIGAN,1,1,0,0,0.0,0,0,2,0,0,0,0,0.0,0,1,134,0,0,62.5,63.9,62.7,,,,62.4,,2,0,0,0,0,1,0,0,0,1,0,2,0,0.0,2.0,,1,2025_this_team
Mekhi Jenkins,171234,HB,C MICHIGAN,1,1,0,0,0.0,0,0,7,0,0,0,3,0.0,0,0,134,0,0,62.5,65.7,62.7,,,,63.5,,7,0,0,0,0,1,0,0,0,1,0,7,3,3.0,7.0,,1,2025_this_team
