player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,_provenance
DeJuan Williams,183534,HB,MARYLAND,12,128,20,8,33.1,166,0,501,6,8,20,367,46.4,13,29,215,1,51,78.9,68.9,53.8,,45.0,60.3,74.5,67.0,40,1,426,45,272,150,0,0,63,173,3,501,367,2.87,3.9,1.57,67,2025_this_team
Nolan Ray,170203,HB,MARYLAND,12,67,16,2,28.0,81,0,289,2,3,16,203,73.8,6,16,215,0,32,84.4,72.0,19.5,,52.8,53.8,78.6,58.3,53,1,50,11,98,78,0,0,17,78,2,289,203,3.03,4.3,0.51,34,2025_this_team
Iverson Howard,198726,HB,MARYLAND,11,39,10,0,0.0,0,0,125,1,0,10,99,61.9,1,4,215,0,21,66.0,64.4,78.9,,36.0,44.0,68.8,59.5,10,0,3,2,25,43,0,0,3,41,0,125,99,2.54,3.2,0.12,18,2025_this_team
Terrez Worthy,190679,HB,TEMPLE,4,23,9,1,50.7,36,0,71,0,2,9,44,72.6,2,2,306,0,4,78.0,68.4,80.0,,70.8,64.2,69.4,56.3,36,0,74,6,49,39,0,0,7,29,1,71,44,1.91,3.1,1.51,18,arrival_2025_at_TEMPLE
Harry Dalton III,205446,HB,USC,4,8,2,1,47.7,21,0,44,0,0,2,24,75.0,2,2,326,0,2,72.5,75.1,72.3,,15.3,57.2,76.5,,21,0,0,0,4,9,0,0,0,8,0,44,24,3.0,5.5,0.0,6,arrival_2025_at_USC
Eli Mason,162799,FB,MARYLAND,7,1,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,0,215,0,0,62.5,56.9,73.0,,54.8,,58.5,60.3,-3,0,0,0,0,11,0,0,0,1,0,-3,0,0.0,-3.0,,1,2025_this_team
