player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Joe Gillette,109605,WR,MAINE,11,39.1,0,212,70.6,,60.5,0,0,0,0.0,0.0,,0,0,0,163,0,0,0,417,0,251,0,0,163,1
Painter Richards-Baker,148860,WR,DARTMOUTH,10,43.8,0,148,60.8,,80.5,0,0,0,0.0,0.0,,0,0,0,163,0,0,0,372,0,209,0,0,163,0
Dylan Walker,160324,TE,ALBANY,10,79.1,0,106,43.9,57.8,47.6,0,2,39,48.8,48.2,97.4,0,2,0,163,0,0,0,206,40,83,0,0,123,177
Aanjay Feliciano,165338,WR,STETSON,10,34.8,0,302,56.4,,55.7,0,0,0,0.0,0.0,,1,0,0,162,0,0,0,465,0,303,0,0,162,0
Brett Gray,155525,T,W CAROLINA,7,100.0,0,344,47.2,44.3,51.4,0,12,93,100.0,100.0,91.4,1,14,2,162,0,0,57,162,101,101,0,104,61,1
Amari Odom,178686,QB,WOFFORD,8,36.5,0,350,68.1,,60.0,0,0,0,0.0,0.0,,1,0,0,162,0,0,0,444,0,259,0,0,162,0
Mason Sheron,165230,HB,DAVIDSON,11,43.1,0,149,75.4,55.6,45.9,0,3,53,53.0,51.4,95.3,0,4,1,162,0,0,0,376,54,105,0,0,108,8
Cole Hoskyns,154715,TE,GARD-WEBB,9,68.2,0,171,48.6,47.6,49.8,0,2,18,21.2,19.4,94.4,1,2,0,161,0,0,0,236,18,93,0,0,143,154
Logan Galletta,175338,WR,LEHIGH,13,55.1,0,205,60.9,,57.1,0,0,0,0.0,0.0,,0,0,0,161,0,0,0,292,0,131,0,0,161,0
Omari Stewart,174402,WR,BETH COOK,10,50.2,0,119,58.3,,53.3,0,0,0,0.0,0.0,,0,0,0,161,0,0,0,321,0,159,0,0,161,0
Mitchell Dixon,142159,TE,UC DAVIS,11,65.4,0,322,63.1,70.4,51.4,0,0,27,25.2,26.1,100.0,1,0,0,161,0,0,0,246,30,115,0,0,131,179
Aidan Dunne,148181,QB,N IOWA,8,45.0,0,255,70.7,,60.1,0,0,0,0.0,0.0,,0,0,0,161,0,0,0,358,0,166,0,0,161,0
Jacob Edmonds,174200,G,WEBER ST,6,100.0,0,342,73.3,71.3,73.2,0,2,77,100.0,100.0,98.7,0,2,0,160,0,158,0,160,80,80,0,0,80,1
Tay Lanier,78216,WR,N ARIZONA,13,45.6,0,252,70.1,,45.1,0,0,0,0.0,0.0,,1,0,0,160,0,0,0,351,0,190,0,0,160,0
Tremel Jones,186201,WR,TENN TECH,12,33.6,0,309,60.1,,52.0,0,0,0,0.0,0.0,,0,0,0,160,0,0,0,476,0,305,0,0,160,0
D'Vontae Key,122754,WR,MO STATE,12,30.1,0,230,58.4,62.1,63.9,0,0,1,0.3,0.3,100.0,0,0,0,160,0,0,0,532,1,371,0,0,159,0
Michael Dincher,172044,G,LAFAYETTE,5,100.0,0,203,43.9,27.6,46.8,1,4,90,100.0,100.0,96.1,1,6,1,160,0,29,0,160,96,96,131,0,64,0
Dylan Haines,177352,C,FORDHAM,4,100.0,0,168,57.1,73.4,53.7,0,1,92,100.0,100.0,99.5,1,1,0,160,160,0,0,160,96,96,0,0,64,0
Connor Garrahy,148755,G,MARIST,5,100.0,0,213,64.3,90.0,53.6,0,0,111,100.0,100.0,100.0,0,0,0,159,0,156,0,159,115,115,3,0,44,0
Aramoni Rhone,145892,WR,ARKAPB,12,42.1,1,112,67.6,,52.9,0,0,0,0.0,0.0,,2,0,0,159,0,0,0,378,0,219,0,0,159,1
DJ Smith,185876,QB,MERCER,10,42.1,0,219,73.9,,60.1,0,0,0,0.0,0.0,,2,0,0,159,0,0,0,378,0,179,0,0,159,0
Logan Lyson,177316,TE,SACR HEART,10,74.9,0,280,54.5,60.5,58.6,0,0,6,10.3,11.7,100.0,3,0,0,158,0,0,0,211,7,60,0,0,151,167
Raiden Brown,178258,WR,IDAHO ST,12,32.8,0,186,60.7,19.7,63.3,0,1,1,0.3,0.3,50.0,0,1,0,158,0,0,0,481,1,324,0,0,157,0
Duce Taylor,150493,QB,MORGAN ST,7,50.0,0,235,66.7,,60.0,0,0,0,0.0,0.0,,1,0,0,158,0,0,0,316,0,146,0,0,158,0
James Smith Jr.,148585,C,MERRIMACK,8,100.0,0,385,54.7,58.1,55.9,0,4,68,100.0,100.0,97.1,1,4,0,158,149,0,0,158,74,74,9,0,84,0
Lincoln Fa'apouli,191515,G,N COLORADO,4,100.0,0,253,51.8,49.6,50.0,1,3,77,100.0,100.0,97.4,0,4,0,158,0,155,3,158,80,80,0,0,78,0
Ronnel Johnson,178430,WR,STETSON,10,27.6,0,302,56.9,,47.8,0,0,0,0.0,0.0,,1,0,0,157,0,0,0,568,0,410,0,0,157,1
Ethan Harris,159805,WR,FURMAN,11,46.9,0,170,61.0,,59.5,0,0,0,0.0,0.0,,0,0,0,157,0,0,0,335,0,178,0,0,157,1
Kylan Galbreath,161505,WR,MURRAY ST,12,48.0,0,236,59.8,61.1,54.3,0,0,1,0.6,0.6,100.0,0,0,0,157,0,0,0,327,1,171,0,0,156,2
Chimdia Nwaiwu,178184,T,STF AUSTIN,10,100.0,0,301,56.1,65.6,55.1,1,2,63,100.0,100.0,97.6,1,3,0,157,0,0,146,157,66,66,0,0,91,11
Trevon Brown,104925,WR,BUTLER,12,52.0,0,127,70.2,,61.6,0,0,0,0.0,0.0,,0,0,0,157,0,0,0,302,0,145,0,0,157,0
Aldrich Doe,174898,WR,BRYANT,12,32.1,0,124,53.4,,58.5,0,0,0,0.0,0.0,,2,0,0,157,0,0,0,489,0,332,0,0,157,0
Isaiah Davis,123307,WR,STF AUSTIN,12,45.8,0,301,59.6,66.4,53.4,0,0,2,1.1,1.1,100.0,0,0,0,157,0,0,0,343,2,188,0,0,155,0
Eric Denham,170742,WR,PORTLAND,11,35.4,1,269,69.0,40.6,48.1,0,0,2,0.8,0.7,100.0,3,0,0,156,0,0,0,441,2,282,0,0,154,0
Logan Brady,192345,C,NWSTATE,4,100.0,0,257,50.4,45.9,53.9,1,0,85,100.0,100.0,98.2,1,2,1,156,128,0,28,156,90,90,0,0,66,0
Ty Everson,172677,TE,MERCER,12,74.3,0,219,40.5,47.2,47.0,0,3,20,27.0,28.0,87.5,5,4,1,156,0,0,0,210,21,75,0,0,135,197
Alex Moore,102610,TE,IDAHO,14,42.6,0,185,58.0,52.1,63.5,0,2,16,7.5,7.5,93.7,0,2,0,156,0,0,0,366,17,227,0,0,139,225
Dominic Eldridge,146098,T,TXAMEA,6,100.0,3,1139,43.8,35.4,51.3,2,6,86,100.0,100.0,94.2,4,9,1,156,0,0,12,156,90,90,0,144,66,0
RJ Brooks,159373,C,INDIANA ST,3,100.0,0,191,54.4,77.1,50.1,0,1,68,100.0,100.0,99.3,1,1,0,156,156,0,0,156,72,72,0,0,84,0
Caleb Burke,142312,WR,NEW HAMP,12,31.8,0,240,70.6,66.6,63.1,0,0,2,0.6,0.6,100.0,0,0,0,156,0,0,0,490,2,336,0,0,154,2
