player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Jacardia Wright,99250,HB,MO STATE,12,184,67,9,23.5,205,1,872,3,14,67,671,136.1,28,53,230,0,88,90.8,77.3,33.4,,18.7,61.2,84.1,63.5,37,2,389,33,248,210,0,0,41,217,14,872,671,3.65,4.7,1.57,91
Adam Jones,176769,HB,MONTANA ST,15,183,29,11,44.2,502,0,1135,1,3,29,536,45.9,20,56,233,2,18,75.2,79.0,86.3,,56.9,67.3,78.9,71.1,93,0,234,21,178,248,0,0,23,204,14,1135,536,2.93,6.2,1.31,164
Elijah Tau-Tolliver,147785,HB,SACRAMENTO,11,182,33,12,36.1,334,0,924,4,12,33,512,57.5,20,52,279,2,77,75.5,70.1,55.1,47.8,43.7,65.8,74.4,43.4,70,1,317,38,209,215,0,0,44,220,7,924,512,2.81,5.1,1.52,104
Jaden Sutton,109120,HB,DELWARE ST,12,182,37,20,54.4,650,0,1194,4,8,37,831,103.8,32,48,152,3,52,65.8,76.3,86.7,,51.8,39.0,84.6,49.2,72,0,186,16,241,228,0,0,26,198,12,1194,831,4.57,6.6,0.77,126
Rushawn Baker,149262,HB,ELON,12,181,41,12,38.2,329,1,861,2,1,41,600,73.7,24,45,162,0,123,90.8,71.8,84.3,,44.3,44.4,75.9,57.5,54,1,53,8,173,211,0,0,14,189,9,861,600,3.31,4.8,0.31,55
Donovan Eaglin,129612,HB,ALAB A&M,12,180,37,13,31.3,299,0,955,1,3,37,616,70.6,32,52,104,1,73,83.2,77.0,86.0,,88.5,60.9,78.2,51.8,40,0,119,14,175,241,0,0,20,194,9,955,616,3.42,5.3,0.68,105
Hope Adebayo,149767,HB,STTHOM,11,179,70,17,46.1,526,0,1140,0,7,70,853,196.2,37,56,1129,0,132,90.7,85.7,10.8,,80.1,58.1,85.9,48.8,70,2,28,8,92,210,0,0,10,187,9,1140,853,4.77,6.4,0.3,46
Damon Bankston,147854,HB,WEBER ST,11,179,52,14,41.8,466,0,1115,0,3,52,693,112.7,32,60,342,1,108,82.8,82.6,10.0,,67.5,85.6,80.0,59.5,75,2,138,10,152,192,0,0,12,189,6,1115,693,3.87,6.2,0.91,68
David Avit,186379,HB,VILLANOVA,14,173,46,10,33.5,308,1,920,0,3,46,595,91.6,24,51,334,0,75,90.6,90.4,44.5,,84.1,75.3,88.1,74.6,72,1,175,11,112,216,0,0,15,184,9,920,595,3.44,5.3,1.56,97
Autavius Ison,178608,HB,CHARLES SO,11,173,33,13,33.9,267,0,787,2,3,33,537,61.4,25,45,135,1,88,82.5,69.6,48.9,,56.8,49.6,72.8,52.8,39,1,66,9,140,248,0,0,13,182,4,787,537,3.1,4.5,0.47,84
Charles Pierre Jr.,164844,HB,S DAKOTA,14,167,43,24,53.7,671,0,1249,2,12,43,701,124.1,34,58,291,0,45,90.5,90.9,86.5,,59.6,77.4,90.4,62.1,83,0,190,19,110,192,0,0,22,186,16,1249,701,4.2,7.5,1.73,122
Tariq Thomas,189180,HB,BUCKNELL,11,166,40,12,35.1,272,0,774,0,2,40,459,64.5,22,34,125,3,67,63.2,65.4,85.4,,57.4,55.9,67.8,54.7,45,0,76,14,204,190,0,0,15,180,4,774,459,2.77,4.7,0.37,97
Eli Gillman,159007,HB,MONTANA,14,166,57,16,53.5,594,0,1110,3,7,57,685,143.5,26,50,232,0,71,90.5,86.5,86.2,,76.6,58.6,90.3,54.6,69,0,176,18,182,204,0,0,27,184,15,1110,685,4.13,6.7,0.97,94
ShunDerrick Powell,154768,HB,CENT ARK,11,165,55,23,63.7,840,0,1318,5,16,55,858,182.8,42,51,132,4,74,54.9,86.2,85.3,76.6,60.4,57.6,90.8,56.5,81,0,344,37,189,194,0,0,45,202,14,1318,858,5.2,8.0,1.82,87
Q Jones,148852,HB,DARTMOUTH,10,164,42,8,33.4,240,0,719,1,2,42,463,73.5,15,30,148,1,61,81.4,69.6,38.9,,58.6,54.3,71.7,54.2,40,1,45,5,130,192,0,0,7,169,3,719,463,2.82,4.4,0.35,102
Jalen Madison,142089,HB,SACR HEART,11,163,32,14,45.9,426,0,928,1,1,32,490,56.4,26,45,280,1,58,81.7,72.8,47.2,,69.7,57.6,74.1,61.8,84,2,96,13,134,231,0,0,17,176,7,928,490,3.01,5.7,0.72,105
Mason Sheron,165230,HB,DAVIDSON,11,162,25,11,46.1,429,0,930,1,0,25,520,48.6,17,50,149,0,60,90.4,75.4,85.6,,55.6,51.3,78.0,45.9,79,0,35,3,49,271,0,0,4,165,10,930,520,3.21,5.7,0.71,98
Dennis Palmer,193345,HB,BETH COOK,8,161,33,10,33.6,242,0,720,0,2,33,491,63.2,19,33,119,0,67,90.4,75.0,85.0,,74.3,58.1,76.2,43.5,42,1,62,8,123,201,0,0,11,169,5,720,491,3.05,4.5,0.5,94
Edward Saydee,97300,HB,GARD-WEBB,11,159,32,8,31.8,226,0,711,2,8,32,492,65.8,19,33,171,2,32,72.3,73.6,84.3,,70.6,75.2,71.2,69.8,52,0,235,29,159,174,0,0,33,188,5,711,492,3.09,4.5,1.48,124
Tye Edwards,158816,HB,N IOWA,12,158,40,16,52.4,533,0,1017,2,3,40,772,123.6,28,46,255,1,86,81.1,82.2,84.9,,68.4,56.8,86.0,54.7,75,0,81,12,170,204,0,0,19,170,6,1017,772,4.89,6.4,0.48,72
Jarett Hunter,138434,HB,HOWARD,12,155,36,8,29.5,211,1,715,3,3,36,523,73.1,21,37,184,1,27,81.4,74.5,51.8,74.6,70.6,56.2,79.0,54.5,39,1,164,25,221,228,0,0,36,180,5,715,523,3.37,4.6,0.74,124
Ryan Ingram,139148,HB,WOFFORD,12,155,27,9,32.8,221,0,673,1,0,27,491,53.8,17,35,350,2,30,70.2,70.0,37.0,,35.6,45.5,73.6,50.2,47,1,14,4,96,188,0,0,5,159,6,673,491,3.17,4.3,0.15,125
DeKalon Taylor,168419,HB,INCAR WORD,11,154,46,16,49.1,454,0,925,2,7,46,547,107.0,25,47,189,2,110,77.2,71.8,86.5,,57.9,59.8,75.6,51.0,97,0,163,22,267,191,0,0,28,176,9,925,547,3.55,6.0,0.61,43
Kevon King,164728,HB,NORFOLK,11,154,32,14,47.9,446,0,931,0,2,32,517,71.3,24,40,244,1,108,80.6,80.8,82.7,,46.1,62.9,80.0,55.6,82,0,34,6,63,180,0,0,8,160,10,931,517,3.36,6.0,0.54,45
Kobe Dillon,141787,HB,SOUTHERN U,13,154,23,6,30.1,220,0,732,2,2,23,415,41.8,16,34,297,3,93,59.4,69.9,83.5,,79.5,47.4,71.2,70.9,75,0,54,7,128,180,0,0,14,161,1,732,415,2.69,4.8,0.42,60
Joey Giorgi,148693,HB,COLUMBIA,10,151,41,10,29.7,257,0,864,1,1,41,589,103.0,22,39,145,0,61,90.3,83.1,83.3,,83.0,53.8,82.8,66.4,40,0,49,8,101,185,0,0,15,159,2,864,589,3.9,5.7,0.49,90
Jo'Shon Barbie,160174,HB,MCNEESE,12,149,25,12,38.8,323,0,833,0,1,25,505,54.1,27,45,217,4,96,48.4,65.6,85.6,,64.7,46.2,67.9,62.8,69,0,88,14,125,187,0,0,18,163,8,833,505,3.39,5.6,0.7,52
Jamario Clements,148567,HB,DUQUESNE,11,148,33,15,46.4,457,0,985,0,0,33,551,80.3,27,46,155,2,53,69.3,76.5,83.8,,81.3,56.1,75.7,57.1,86,0,29,5,94,167,0,0,5,153,6,985,551,3.72,6.7,0.31,95
Ethan Greenwood,161869,QB,LIUSHAR,12,148,57,14,37.8,386,0,771,0,1,42,405,121.1,34,44,1298,3,63,70.0,77.6,70.9,65.6,81.4,93.1,73.8,60.5,56,2,144,8,11,254,251,32,8,124,5,1022,532,3.59,6.9,13.09,33
Josh Pitsenberger,164699,HB,YALE,9,148,27,8,26.6,215,0,809,1,9,27,460,69.5,19,42,352,0,55,90.1,78.3,84.3,,84.9,60.1,80.1,59.6,64,0,95,13,172,182,0,0,15,161,7,809,460,3.11,5.5,0.55,92
Beau Brungard,164897,QB,YNGTOWN ST,12,147,52,6,21.8,241,0,488,0,0,23,245,80.8,39,61,353,3,41,68.6,82.0,89.2,65.7,,87.9,88.0,60.0,66,2,15,1,1,396,618,64,1,84,16,1106,546,3.71,7.5,15.0,27
Qualan Jones,97196,HB,STF AUSTIN,10,146,33,9,31.7,247,0,778,3,3,33,409,63.4,25,41,301,0,92,90.1,82.3,84.4,,79.3,51.6,85.0,55.4,52,0,80,13,139,169,0,0,17,159,8,778,409,2.8,5.3,0.58,54
Jacorian Sewell,169535,HB,ALCORN ST,12,145,23,13,50.8,449,0,884,1,4,23,522,62.3,22,33,107,2,57,69.1,71.6,85.7,,62.6,59.3,74.0,57.7,82,0,54,11,191,219,0,0,18,156,6,884,522,3.6,6.1,0.28,88
Jarel Washington,165123,HB,STHLSK,11,145,16,4,22.5,138,0,614,1,2,16,314,24.7,13,31,1470,0,106,90.1,69.2,42.2,,19.9,60.7,74.3,45.2,72,1,124,13,143,183,0,0,19,158,4,614,314,2.17,4.2,0.87,34
Jaden Green,185693,HB,LEHIGH,13,144,27,14,55.6,432,0,777,0,3,27,462,61.7,22,34,205,0,64,90.2,73.7,35.3,,60.5,72.8,72.9,60.2,65,1,62,12,108,187,0,0,15,156,10,777,462,3.21,5.4,0.57,78
Bryson Irby,138996,HB,E TENN ST,11,144,28,6,30.3,227,0,749,0,0,28,597,75.9,17,38,157,1,64,79.7,79.3,87.5,,81.8,56.5,80.7,50.0,61,0,45,9,108,189,0,0,11,153,6,749,597,4.15,5.2,0.42,78
Darius Hale,150185,HB,CENT ARK,12,142,27,13,50.4,392,0,778,3,7,27,551,80.9,22,41,132,3,80,58.7,76.7,44.6,,37.3,67.2,79.1,44.1,53,2,110,21,128,170,0,0,27,163,12,778,551,3.88,5.5,0.86,60
Michael Mansaray,141838,HB,VALPO,11,142,21,4,24.9,160,0,642,1,2,21,522,53.9,18,32,332,0,103,90.0,71.5,87.5,37.1,63.2,60.3,74.6,54.6,58,0,114,15,161,198,0,0,21,157,9,642,522,3.68,4.5,0.71,38
Nick Howard,108979,QB,BUTLER,12,141,23,8,25.0,180,0,682,0,0,22,450,53.5,19,48,127,3,69,69.2,83.2,82.8,66.5,,,77.8,60.0,31,0,0,0,0,204,38,5,0,136,13,720,483,3.43,5.1,,65
Brayden Latham,170591,HB,E KENTUCKY,13,140,28,7,32.1,205,0,638,2,0,28,404,53.9,17,28,159,2,50,69.5,70.8,83.8,,73.4,53.9,71.8,56.2,42,0,66,10,98,179,0,0,14,150,3,638,404,2.89,4.6,0.67,89
Rajaez Mosley,186554,HB,W GEORGIA,11,140,21,7,23.3,135,0,579,1,3,21,383,42.9,15,32,1177,2,64,70.1,69.4,85.7,,64.8,46.3,75.2,49.7,24,0,102,13,153,187,0,0,14,153,4,579,383,2.74,4.1,0.67,76
Elijah Owens,171426,QB,INDIANA ST,11,139,30,3,10.3,89,0,406,0,0,15,240,46.5,29,54,191,6,30,52.6,75.6,79.4,67.8,62.2,50.2,74.6,60.0,54,4,0,0,1,345,456,51,0,88,8,862,402,2.89,6.2,0.0,33
Markell Holman,185737,HB,ST FRANCIS,11,139,37,3,19.2,111,0,579,3,5,37,446,84.8,15,29,299,1,87,79.5,71.0,87.0,,24.4,63.5,72.2,66.4,55,0,155,20,150,164,0,0,31,159,6,579,446,3.21,4.2,1.03,51
Delon Thompson,170759,HB,PORTLAND,11,139,21,6,22.5,154,0,683,0,3,21,362,42.8,20,38,269,0,89,90.0,81.1,85.0,,72.8,66.1,80.3,56.5,53,0,81,7,85,176,0,0,8,146,6,683,362,2.6,4.9,0.95,47
Tyshon King,171530,HB,YNGTOWN ST,12,138,33,4,14.2,78,0,551,1,3,33,435,75.2,15,40,353,0,46,80.1,71.8,42.7,,74.6,63.9,73.1,51.5,30,1,108,13,160,180,0,0,15,151,7,551,435,3.15,4.0,0.68,91
Tuna Altahir,147591,HB,E WASHGTON,12,138,28,10,29.1,210,0,722,1,1,28,419,59.9,20,41,161,0,47,89.9,72.7,86.0,,85.8,48.8,76.9,59.2,33,0,49,9,173,260,0,0,16,147,3,722,419,3.04,5.2,0.28,89
Ethan Wright,123587,HB,YNGTOWN ST,11,136,34,6,25.0,169,0,677,0,3,34,437,77.7,12,34,353,1,47,78.8,77.3,84.3,60.4,51.3,60.0,79.1,70.0,64,0,101,17,149,184,0,0,18,153,4,677,437,3.21,5.0,0.68,89
Jalen Mitchell,97173,HB,TENN TECH,12,136,33,15,43.4,333,0,768,0,3,33,468,84.3,25,37,309,3,79,56.0,70.2,38.4,,70.5,65.7,71.1,50.6,68,1,109,11,134,173,0,0,13,147,5,768,468,3.44,5.6,0.81,56
Jared Taylor,170695,QB,E WASHGTON,11,136,10,8,27.6,199,0,709,0,0,10,350,19.6,20,52,161,2,102,68.5,89.0,82.0,70.7,,66.2,81.8,60.0,48,0,20,1,5,160,11,3,1,134,10,720,355,2.61,5.3,4.0,31
