player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Gavin Hall,185847,HB,FURMAN,9,64,17,5,37.6,120,0,319,0,3,17,165,71.6,12,17,170,1,28,65.4,79.8,0.0,74.2,21.5,90.4,76.2,58.3,46,1,53,8,47,71,0,0,8,72,1,319,165,2.58,5.0,1.13,35
Journey Wyche,192118,HB,CHATTNOOGA,11,63,10,2,17.3,33,0,191,0,0,10,133,30.2,4,11,137,0,20,83.9,63.3,82.0,,58.5,71.7,61.1,67.9,18,0,83,7,52,69,0,0,8,70,1,191,133,2.11,3.0,1.6,43
Cameren Dalrymple,144301,FB,NC A&T,11,63,5,1,18.5,51,0,276,0,0,5,179,21.2,3,13,246,0,41,84.1,65.3,81.6,,30.0,57.2,70.0,57.8,51,0,63,4,72,71,0,0,6,67,1,276,179,2.84,4.4,0.88,21
Colson Coon,176762,HB,MONTANA ST,11,63,12,2,17.7,66,0,373,0,1,12,174,55.2,8,19,233,1,4,64.4,85.1,79.9,,75.8,61.6,82.5,59.4,50,0,18,2,17,81,0,0,2,65,1,373,174,2.76,5.9,1.06,58
Payton Brown,192848,HB,SE MO ST,8,63,11,4,40.1,125,0,312,0,4,11,202,61.7,5,17,293,1,37,66.0,73.5,83.6,,48.4,69.6,79.8,48.1,52,0,152,15,193,81,0,0,18,78,5,312,202,3.21,5.0,0.79,26
Chad Mascoe II,160339,QB,CAMPBELL,8,63,7,0,0.0,0,1,125,0,0,6,71,21.0,3,11,131,9,20,28.3,69.4,85.3,77.0,,50.3,48.3,60.2,12,2,0,0,3,174,70,18,0,45,1,195,82,1.3,3.1,0.0,11
Blaine Hipa,167662,QB,PRINCETON,9,63,7,0,0.0,0,0,16,0,0,1,38,4.2,5,12,272,8,8,26.4,47.1,64.8,49.9,,,47.6,60.1,16,5,0,0,0,214,150,33,0,30,3,166,162,2.57,2.6,,7
Johnny Martin,157967,HB,STNY BROOK,11,63,18,1,9.6,24,0,251,0,0,18,178,79.5,3,16,303,1,15,63.6,78.7,0.0,,56.5,53.5,79.4,58.9,24,1,3,1,24,73,0,0,3,64,3,251,178,2.83,4.0,0.13,48
Derrel Kelley III,136894,HB,TARLETON,6,62,10,2,13.2,36,0,273,0,0,10,169,44.0,9,16,401,0,34,84.1,75.5,0.0,,52.9,53.0,75.8,56.7,21,1,0,0,14,70,0,0,0,62,4,273,169,2.73,4.4,0.0,28
Lashaun Lester,160588,HB,S ILLINOIS,7,62,7,1,22.4,46,0,205,1,0,7,122,19.1,5,11,295,0,25,83.7,63.7,82.3,,36.1,49.9,69.4,58.7,46,1,29,10,85,88,0,0,11,72,1,205,122,1.97,3.3,0.34,35
Kennieth Lacy,160140,HB,NWSTATE,9,62,18,3,55.5,136,2,245,1,2,18,204,95.4,4,8,257,1,31,64.6,61.2,0.0,,62.3,53.1,64.5,57.6,75,2,20,7,71,84,0,0,11,69,4,245,204,3.29,4.0,0.28,31
Richie Munoz,173668,QB,WEBER ST,12,62,9,2,11.9,35,0,107,0,0,4,47,18.4,9,16,342,7,8,49.2,71.4,73.8,72.4,,57.2,55.0,60.0,20,4,0,0,0,411,188,30,0,32,2,295,104,1.68,4.8,,7
Faysal Aden,131843,HB,ALBANY,11,62,14,2,36.7,121,0,330,0,2,14,190,69.1,7,12,106,0,29,83.7,65.7,83.7,,56.9,62.5,69.0,48.8,84,0,61,9,129,90,0,0,10,71,1,330,190,3.06,5.3,0.47,33
Wesley Graves,150549,HB,NC A&T,5,62,11,1,7.1,16,0,225,1,0,11,144,39.3,6,11,246,0,25,83.7,61.2,80.3,,57.3,49.8,63.7,48.8,16,0,29,3,59,69,0,0,6,65,1,225,144,2.32,3.6,0.49,37
Kia'i Keone,179368,QB,N COLORADO,8,62,7,3,22.9,49,0,168,0,0,3,71,7.0,6,11,253,3,36,80.9,63.3,85.0,60.1,,,63.9,60.1,21,0,0,0,0,205,46,7,0,55,2,214,120,1.94,3.5,,9
Tre Peterson,151128,HB,YALE,10,62,9,4,37.3,142,0,381,0,0,9,156,35.4,9,15,352,1,24,63.9,76.5,80.8,50.4,56.6,54.7,80.0,59.8,57,0,11,2,65,76,0,0,3,64,2,381,156,2.52,6.1,0.17,38
Jake Willcox,148649,QB,BROWN,10,62,27,1,5.1,21,0,94,0,2,4,43,67.9,12,20,123,4,7,61.2,68.9,89.1,66.1,,91.2,63.8,60.4,21,0,33,1,3,272,316,43,1,20,2,410,237,3.82,6.6,11.0,6
Courtney Reese,101297,HB,BETH COOK,12,62,12,2,21.7,52,0,240,1,1,12,199,54.9,5,11,119,0,17,84.2,66.1,17.8,,62.3,65.4,67.5,55.0,37,1,98,14,88,84,0,0,15,76,1,240,199,3.21,3.9,1.11,44
Aidan Littles,174572,HB,TENN TECH,10,62,14,7,56.5,218,0,386,0,3,14,208,80.3,12,13,309,0,37,83.7,74.3,81.9,,39.4,75.2,73.7,60.1,87,0,87,9,67,99,0,0,10,71,3,386,208,3.35,6.2,1.3,25
Dennis Moody III,170621,HB,N ALABAMA,10,61,16,2,16.2,41,0,253,1,0,16,181,71.9,6,16,389,2,38,44.1,63.7,81.0,,66.4,46.2,67.2,56.8,26,0,12,5,83,79,0,0,8,66,0,253,181,2.97,4.1,0.14,23
Carter Peevy,129563,QB,MAINE,12,61,6,3,30.4,94,0,131,0,0,3,50,13.8,10,16,212,5,19,53.6,73.3,79.5,77.3,62.2,48.6,49.8,60.6,40,4,0,0,2,309,178,28,0,33,1,309,79,1.3,5.1,0.0,6
Joey Suchy,143141,HB,BUTLER,12,61,10,6,48.3,172,0,356,1,3,10,260,72.9,9,17,127,1,9,65.2,71.6,39.8,,76.8,67.2,75.7,47.1,46,1,88,15,85,160,0,0,19,76,5,356,260,4.26,5.8,1.04,52
Brandon Epton Jr.,144359,HB,SE MO ST,6,61,6,3,27.8,62,0,223,1,1,6,155,22.0,6,10,293,0,45,84.0,69.3,83.1,,30.6,63.3,74.4,56.8,27,0,101,20,147,79,0,0,22,81,1,223,155,2.54,3.7,0.69,14
O'Shaan Allison,77801,HB,AUSTINPEAY,12,61,7,3,37.1,86,0,232,0,0,7,156,23.9,6,14,116,0,21,83.6,64.6,82.8,,55.1,57.4,67.7,56.4,49,0,25,14,135,91,0,0,16,75,0,232,156,2.56,3.8,0.19,40
Hayden Johnson,185698,QB,LEHIGH,13,60,20,1,5.2,20,0,135,0,0,9,103,85.1,10,17,205,4,18,49.6,83.7,86.1,82.8,62.2,,66.8,60.1,45,0,0,0,0,261,248,27,0,33,4,383,242,4.03,6.4,,14
Zion Hall,147560,HB,CAL POLY,7,60,10,4,35.7,91,0,255,1,1,10,156,39.2,7,7,129,0,16,83.6,63.1,83.1,,32.2,58.8,66.2,53.7,29,0,30,13,98,69,0,0,15,73,1,255,156,2.6,4.3,0.31,42
Jerrell Wimbley,164117,HB,STF AUSTIN,11,60,18,3,28.3,89,0,315,2,5,18,218,116.1,8,15,301,2,37,48.3,65.3,41.1,,79.6,60.1,66.0,58.0,34,1,130,12,119,133,0,0,16,72,3,315,218,3.63,5.3,1.09,23
Hunter Hays,141593,QB,IDAHO ST,10,60,20,0,0.0,0,0,189,0,0,15,137,65.5,3,21,186,0,41,81.8,80.6,19.9,67.7,62.2,,78.7,60.0,13,3,0,0,0,87,31,4,0,56,6,220,167,2.78,3.7,,5
Jack Capaldi,163883,QB,FORDHAM,11,60,13,5,38.0,140,0,218,0,0,6,82,40.2,16,17,168,12,1,22.6,53.4,64.7,56.1,,,49.5,60.0,41,3,0,0,0,264,150,25,0,35,2,368,145,2.42,6.1,,28
Deon Silas,144540,HB,RHODE ISLD,13,60,12,5,42.1,118,0,280,1,1,12,156,54.5,9,11,274,1,21,67.5,58.9,79.5,,69.3,46.4,61.0,57.2,31,0,20,2,46,72,0,0,3,62,2,280,156,2.6,4.7,0.43,39
Andre Hines Jr.,123539,HB,WAGNER,7,59,8,0,0.0,0,0,245,0,1,8,178,45.3,6,13,338,1,31,62.6,69.9,0.0,,78.0,53.3,72.2,51.3,13,1,7,1,25,93,0,0,2,60,2,245,178,3.02,4.2,0.28,28
Justus Durant,181430,HB,CHATTNOOGA,7,59,11,3,24.4,65,0,266,0,0,11,160,49.7,7,14,137,0,14,83.4,73.6,81.2,,54.8,54.8,74.9,59.0,32,0,10,1,39,62,0,0,1,60,5,266,160,2.71,4.5,0.26,44
Tristan Shannon,149651,HB,MARIST,11,59,21,6,49.1,188,0,383,1,5,21,298,170.5,9,16,213,1,14,85.9,84.5,82.4,60.4,84.1,81.3,86.2,55.4,60,0,94,18,119,75,0,0,20,77,3,383,298,5.05,6.5,0.79,43
David Afari,52809,HB,N COLORADO,10,58,16,3,22.5,59,0,262,4,1,16,195,85.3,7,11,253,1,32,70.4,61.8,81.6,,64.5,30.4,69.3,57.9,27,0,116,9,68,74,0,0,15,67,1,262,195,3.36,4.5,1.71,21
Ricky Parks,146431,HB,FORDHAM,8,58,11,2,26.0,61,0,235,2,0,11,187,60.1,5,5,168,1,24,61.8,57.7,0.0,,85.0,31.7,61.8,59.9,46,1,7,1,48,61,0,0,4,59,0,235,187,3.22,4.1,0.15,34
Draylen Ellis,121346,QB,TENN STATE,13,58,10,0,0.0,0,0,110,0,0,6,53,19.9,8,12,308,4,17,70.1,70.7,72.9,68.5,,,66.1,60.1,42,6,0,0,0,323,142,18,0,40,3,252,141,2.43,4.3,,11
Dedrick Talbert,160214,HB,GRAMBLING,12,58,21,2,20.1,47,0,234,0,1,21,185,115.0,7,15,177,2,9,43.2,70.1,81.4,,78.7,64.9,69.0,57.9,31,0,13,3,38,80,0,0,4,61,4,234,185,3.19,4.0,0.34,48
Kywon Morgan,171782,HB,MURRAY ST,10,58,18,1,17.2,45,0,261,0,3,18,191,106.4,5,13,236,0,27,83.4,71.7,81.4,,56.5,63.8,72.9,55.3,45,0,27,7,67,82,0,0,7,65,2,261,191,3.29,4.5,0.4,31
Corey Warren Jr.,139486,HB,NICHOLLS,12,57,16,6,36.8,119,0,323,0,1,16,208,101.7,9,16,243,1,21,62.6,69.1,81.5,,43.0,60.6,72.1,55.0,28,1,30,4,60,110,0,0,4,61,3,323,208,3.65,5.7,0.5,36
KJ Shankle,122614,HB,TXAMEA,6,57,13,1,10.7,20,0,187,0,1,13,145,51.6,5,14,1139,0,23,83.1,66.9,81.8,,67.7,76.0,64.7,55.8,20,0,103,12,119,66,0,0,18,69,1,187,145,2.54,3.3,0.87,32
Sekou Kamau,171713,HB,WAGNER,12,57,10,5,50.6,169,0,334,2,3,10,155,50.5,7,13,338,1,18,63.9,65.4,82.3,,48.5,62.2,67.2,50.3,47,0,83,13,79,72,0,0,18,70,1,334,155,2.72,5.9,1.05,39
Aziz Foster-Powell,170904,HB,RICHMOND,8,56,13,3,27.7,64,0,231,0,1,13,150,63.6,5,11,276,2,19,40.5,63.8,79.4,,17.3,58.8,63.7,84.4,22,0,9,3,30,65,0,0,4,59,1,231,150,2.68,4.1,0.3,36
Donovan Shepard,165354,HB,HAMPTON,9,56,8,3,35.3,82,0,232,0,0,8,158,38.3,6,9,178,0,21,85.4,60.1,79.2,,79.9,59.6,59.8,56.4,38,0,20,3,39,68,0,0,3,59,1,232,158,2.82,4.1,0.51,34
Keoua Kauhi,164075,HB,IDAHO ST,12,56,21,4,33.5,117,0,349,0,0,21,227,144.3,7,14,186,2,25,33.6,69.5,20.4,,64.5,51.7,73.2,53.7,45,1,19,3,42,77,0,0,4,59,1,349,227,4.05,6.2,0.45,19
Collin Hurst,177732,QB,PRESBYTERN,12,56,6,0,0.0,0,0,34,0,0,0,17,0.0,15,21,271,8,9,29.0,74.9,77.9,73.0,,43.4,66.6,60.0,19,2,0,0,7,277,244,32,0,24,5,278,98,1.75,5.0,0.0,6
DJ Smith,185876,QB,MERCER,10,55,15,1,11.2,29,0,129,0,0,6,76,30.0,9,14,219,4,23,47.3,73.9,84.8,66.1,,,74.0,60.1,29,2,0,0,0,199,131,16,0,39,4,260,164,2.98,4.7,,5
Brendon Wyatt,171634,HB,MERRIMACK,11,54,7,6,50.5,145,0,287,0,0,7,158,35.3,8,19,385,0,12,83.3,75.4,79.8,,28.2,67.9,76.6,59.9,37,0,54,4,42,79,0,0,4,58,3,287,158,2.93,5.3,1.29,42
Paxton DeLaurent,159618,QB,SE MO ST,13,54,10,0,0.0,0,0,71,0,0,5,46,19.9,8,16,293,6,14,65.0,88.3,90.1,84.8,,,71.2,60.1,15,0,0,0,0,271,132,20,0,34,3,203,104,1.93,3.8,,6
Malcolm Mays,165409,QB,HAMPTON,12,54,8,4,26.3,94,0,222,0,0,6,122,41.5,14,22,178,5,11,37.5,79.7,84.3,75.5,,,71.2,60.0,34,0,0,0,0,170,135,12,0,42,4,357,151,2.8,6.6,,22
Davin Wydner,163672,QB,W GEORGIA,11,54,7,2,14.1,48,2,100,0,0,3,64,21.3,12,21,1177,6,18,37.4,66.8,62.0,64.4,,46.3,66.7,60.8,47,5,0,0,2,211,241,24,0,30,7,341,103,1.91,6.3,0.0,2
D'angelo Durham,83752,HB,MCNEESE,9,54,11,3,25.7,61,0,237,0,0,11,155,52.6,6,15,217,0,27,82.9,68.9,81.7,,16.2,69.3,71.0,53.2,27,0,53,6,54,81,0,0,7,60,3,237,155,2.87,4.4,0.98,25
Makhi Green,164564,HB,MONMOUTH,12,54,13,3,35.8,98,0,274,1,1,13,153,62.0,5,8,231,1,27,74.2,69.8,81.1,,81.3,72.7,66.9,59.2,46,0,97,10,84,67,0,0,12,64,0,274,153,2.83,5.1,1.15,25
Malik Dryden,189313,HB,STETSON,8,53,12,1,8.8,18,0,204,1,0,12,142,57.4,4,8,302,0,21,82.8,69.5,80.9,,70.0,45.7,71.7,59.3,18,0,2,3,39,63,0,0,4,56,1,204,142,2.68,3.8,0.05,29
Emari Matthews,160768,HB,JACKSON ST,12,53,12,3,23.8,50,0,210,0,0,12,156,66.6,6,16,194,0,17,82.7,74.0,79.3,,80.7,52.6,74.1,52.9,19,0,0,0,23,68,0,0,1,53,3,210,156,2.94,4.0,0.0,36
Jace Wilson,149892,QB,TEXAS STHN,8,53,5,0,0.0,0,0,61,0,0,3,47,13.8,7,9,313,2,4,67.9,48.2,69.7,46.9,,,55.9,60.0,29,3,0,0,0,203,142,21,0,32,2,203,88,1.66,3.8,,11
Cole Freeman,145032,QB,COLUMBIA,9,53,10,4,30.0,79,0,191,0,0,5,122,31.5,13,16,145,5,23,31.9,72.2,63.9,75.3,,,59.3,60.0,30,1,0,0,0,141,72,9,0,44,3,263,159,3.0,5.0,,14
Chase Belcher,164410,HB,W GEORGIA,10,52,14,5,45.0,108,0,240,1,4,14,165,86.5,8,13,1177,0,20,82.7,75.0,82.7,,68.6,69.8,76.7,57.0,33,1,182,14,107,64,0,0,17,66,3,240,165,3.17,4.6,1.7,32
Logan Fife,128176,QB,MONTANA,13,52,4,1,7.1,15,0,68,0,0,1,44,4.3,10,18,232,6,9,56.4,78.3,75.6,78.7,62.2,44.2,62.2,60.1,22,1,0,0,3,253,143,20,1,32,5,211,94,1.81,4.1,0.0,10
Jaden Johnson,98682,QB,PRVIEW A&M,9,52,6,0,0.0,0,0,18,0,0,0,11,0.0,6,8,270,9,12,22.8,63.1,85.7,63.0,,54.3,58.5,60.2,21,1,0,0,1,191,205,30,0,22,1,223,87,1.67,4.3,0.0,1
Myles Burkett,158691,QB,ALBANY,9,52,7,0,0.0,0,0,16,0,0,0,12,0.0,6,8,106,6,6,57.2,62.9,63.6,61.0,,57.0,64.1,60.4,44,3,0,0,0,212,251,32,0,20,0,267,101,1.94,5.1,,5
Jackson Proctor,148851,QB,DARTMOUTH,7,52,14,6,46.7,178,0,264,0,0,10,161,124.2,12,17,148,2,0,63.5,86.6,71.8,78.0,,,83.7,60.1,75,1,0,0,0,202,117,16,0,36,4,381,218,4.19,7.3,,25
Ralph Rucker IV,144625,QB,BUCKNELL,11,51,16,2,11.7,35,0,99,0,0,2,36,16.3,13,17,125,7,4,54.8,77.2,89.0,75.9,,54.3,62.8,60.0,19,1,0,0,1,288,199,30,0,21,4,298,179,3.51,5.8,0.0,5
Tyler Knoop,108982,QB,STNY BROOK,12,51,8,1,10.0,24,0,74,0,0,2,37,19.5,4,8,303,6,5,39.0,74.7,87.4,77.1,,,54.4,60.0,24,0,1,1,0,263,167,32,1,20,0,241,148,2.9,4.7,,7
Champ Dozier,174515,WR,HOUCHR,11,51,8,5,55.6,115,0,207,2,6,8,136,48.5,6,9,183,1,18,65.9,63.9,83.5,,77.7,62.6,63.0,57.1,40,0,263,26,149,119,0,0,44,77,3,207,136,2.67,4.1,1.77,32
J'Wan Evans,99628,HB,N ARIZONA,11,51,18,6,50.8,153,0,301,0,3,18,207,152.2,10,16,252,0,39,83.4,81.0,80.1,,79.5,65.3,83.9,42.6,59,0,33,5,52,63,0,0,6,56,2,301,207,4.06,5.9,0.63,12
Eli Brickhandler,160410,QB,HOUCHR,7,51,6,3,15.1,50,0,157,0,0,3,74,24.7,14,18,183,2,8,51.0,57.4,82.5,51.9,62.2,,63.3,60.2,22,1,0,0,0,115,174,21,0,30,1,331,150,2.94,6.5,,16
Jalen Fletcher,189034,HB,N ALABAMA,12,51,12,9,52.6,170,0,323,0,1,12,197,81.0,13,20,389,0,30,82.6,70.3,82.0,,31.7,67.8,73.5,49.7,26,0,131,11,105,109,0,0,19,62,2,323,197,3.86,6.3,1.25,15
Billy Dozier,130549,HB,BUTLER,10,51,5,1,24.5,63,0,257,1,3,5,86,21.8,4,10,127,0,10,82.4,74.9,82.3,,82.2,74.3,73.0,52.1,63,0,51,11,37,102,0,0,13,62,4,257,86,1.69,5.0,1.38,40
Scooter Adams,139492,HB,PRVIEW A&M,12,50,9,2,21.8,39,0,179,1,1,9,128,47.4,3,10,270,0,35,82.6,63.2,84.2,,51.5,55.8,65.2,58.8,22,0,77,4,64,57,0,0,8,54,0,179,128,2.56,3.6,1.2,15
Fonnae Webb,142363,HB,NORFOLK,12,50,11,3,31.7,71,0,224,0,0,11,169,72.9,4,11,244,0,27,82.4,74.2,79.8,,52.5,56.9,75.4,57.4,30,0,5,1,37,75,0,0,2,51,0,224,169,3.38,4.5,0.14,23
Marlin Cochran,177944,HB,W CAROLINA,12,50,9,2,27.4,49,0,179,0,2,9,99,34.6,5,6,344,0,13,82.4,62.3,81.3,,29.9,68.7,63.4,45.8,32,0,116,13,92,73,0,0,17,63,0,179,99,1.98,3.6,1.26,37
Cole Gonzales,159939,QB,W CAROLINA,8,49,12,2,19.5,57,0,75,0,0,3,27,22.4,10,13,344,5,8,58.5,69.5,87.6,68.1,,54.3,62.4,60.1,50,1,0,0,1,196,217,30,0,19,2,292,135,2.76,6.0,0.0,6
Jordan DeLucia,148658,HB,BROWN,7,49,4,0,0.0,0,0,173,0,1,4,124,21.1,1,12,123,0,31,82.2,64.9,80.3,,22.5,71.0,66.2,50.2,12,0,33,11,59,55,0,0,12,60,2,173,124,2.53,3.5,0.56,17
Isaiah Nwokenkwo,155249,HB,ALAB A&M,8,49,11,6,52.7,155,0,294,0,1,11,157,73.9,9,14,104,0,22,82.5,73.3,79.7,,82.4,60.2,73.6,53.0,65,0,34,3,30,73,0,0,4,52,0,294,157,3.2,6.0,1.13,26
Damien Moore,70767,HB,LAMAR,12,49,10,2,18.1,41,0,227,0,3,10,145,72.6,6,12,204,0,18,82.4,74.1,79.9,,43.1,71.4,73.8,64.6,23,0,103,4,49,75,0,0,6,53,1,227,145,2.96,4.6,2.1,31
Andrew King,185284,HB,RICHMOND,11,48,16,3,37.3,101,0,271,0,1,16,141,92.5,8,12,276,1,19,58.8,76.5,77.9,,34.6,82.4,73.4,67.6,63,0,96,6,30,52,0,0,7,54,2,271,141,2.94,5.6,3.2,26
Michael Brescia,149295,QB,COLGATE,4,48,11,4,40.3,110,0,200,0,0,5,139,44.6,10,18,142,0,31,79.0,65.0,81.8,50.0,,63.2,75.6,59.9,44,0,13,3,4,79,73,10,3,41,4,273,184,3.83,5.7,3.25,1
Ryan Morrow,142725,HB,ALAB A&M,8,48,10,4,37.9,81,0,214,0,2,10,121,56.0,7,11,104,0,16,82.1,70.8,80.6,,59.1,73.7,69.5,52.5,31,0,58,6,47,64,0,0,7,54,1,214,121,2.52,4.5,1.23,31
Chase Mason,159444,QB,S DAK ST,10,48,11,6,45.8,215,0,345,0,0,8,177,80.3,11,19,292,2,34,59.4,73.0,4.1,57.4,,57.8,76.5,60.3,69,2,-3,2,9,68,124,7,2,43,6,469,259,5.4,9.8,-0.33,0
D.J. Crowther,159311,HB,DARTMOUTH,7,48,11,4,53.0,132,0,249,0,1,11,95,45.7,6,10,148,0,20,82.0,65.9,8.9,,43.3,51.3,70.5,71.4,46,1,3,4,70,78,0,0,4,52,2,249,95,1.98,5.2,0.04,28
TK Marshall,125298,HB,N DAK ST,16,48,5,2,21.0,35,0,167,1,3,5,113,31.4,5,9,250,0,12,82.5,67.1,82.8,,50.9,65.0,68.9,65.9,19,1,197,12,121,92,0,0,15,60,1,167,113,2.35,3.5,1.63,36
Timothy Carter,172942,HB,INCAR WORD,6,48,11,3,32.9,78,0,237,1,0,11,143,63.0,5,14,189,1,36,58.3,62.4,81.7,,58.1,44.8,67.9,46.5,35,0,26,4,69,65,0,0,7,52,1,237,143,2.98,4.9,0.38,12
Jacob Clark,101628,QB,MO STATE,12,47,7,1,16.1,38,0,27,0,0,1,13,6.6,10,14,230,5,1,54.1,90.4,80.0,90.2,,60.0,62.9,60.0,38,1,0,0,1,276,209,33,0,14,1,236,138,2.94,5.0,0.0,5
Kaden Williams,173775,HB,AUSTINPEAY,11,47,3,0,0.0,0,0,125,0,3,3,83,18.9,1,8,116,0,23,82.3,61.6,80.9,,58.0,61.2,61.6,58.0,11,0,53,9,77,68,0,0,11,56,1,125,83,1.77,2.7,0.69,22
Bryce Strong,186029,HB,MCNEESE,8,47,18,7,59.2,228,0,385,2,6,18,248,234.5,9,18,217,1,29,58.6,75.4,81.4,,20.1,48.0,82.9,63.2,78,0,55,7,53,64,0,0,10,54,5,385,248,5.28,8.2,1.04,18
Seth Glatz,164938,HB,ILL STATE,13,47,8,3,28.2,71,0,252,0,1,8,154,56.7,10,15,188,1,2,58.5,73.9,80.1,,75.8,59.8,75.8,60.1,26,0,49,5,57,52,0,0,6,52,2,252,154,3.28,5.4,0.86,44
Ernest Davis III,167984,HB,MERCYHURST,7,46,12,1,10.2,25,0,244,1,1,12,144,75.4,6,13,977,4,18,20.3,68.1,80.5,,81.1,47.3,72.2,58.4,25,0,74,8,67,51,0,0,9,54,1,244,144,3.13,5.3,1.1,27
Richie Watts,171217,QB,CAL POLY,7,46,5,1,8.7,18,0,173,0,0,3,71,13.3,7,14,129,0,19,79.5,69.0,78.7,62.3,,,67.4,60.0,18,0,0,0,0,67,33,6,0,40,4,206,97,2.11,4.5,,17
Jared White,164405,HB,MONTANA ST,10,46,10,4,37.4,95,0,254,0,0,10,155,71.7,7,10,233,1,2,58.5,68.8,79.6,,21.4,54.3,71.6,56.0,27,0,24,1,36,62,0,0,3,47,0,254,155,3.37,5.5,0.67,44
Cole Ruble,171806,HB,SE MO ST,8,46,5,3,46.4,97,0,209,2,4,5,91,31.2,5,8,293,2,25,43.0,58.8,82.4,,78.4,36.9,64.1,70.1,65,0,111,11,125,63,0,0,16,57,2,209,91,1.98,4.5,0.89,16
Jayden Jenkins,164776,HB,DELWARE ST,12,46,10,0,0.0,0,0,163,1,3,10,99,45.1,3,7,152,0,13,81.7,60.6,82.2,,58.8,57.9,62.3,53.0,13,0,80,16,112,69,0,0,19,62,1,163,99,2.15,3.5,0.71,32
Coleby Hamm,172749,HB,MCNEESE,7,46,10,3,25.4,50,0,197,0,1,10,154,75.2,6,10,217,1,28,57.6,73.8,80.2,,53.6,70.2,73.8,50.7,19,0,24,3,36,63,0,0,3,49,1,197,154,3.35,4.3,0.67,18
Ron Peace,186224,QB,TXAMEA,12,46,7,1,14.6,34,0,85,0,0,3,52,17.3,10,10,1139,10,11,31.0,59.9,79.0,58.6,,,60.7,60.0,34,2,0,0,0,249,148,16,0,30,2,233,143,3.11,5.1,,12
A.J. Gates,145444,HB,ALABAMA ST,8,46,23,3,34.6,81,0,234,1,1,23,180,177.2,6,10,105,1,17,39.5,72.6,80.5,,36.8,53.4,77.0,59.3,45,0,58,7,62,54,0,0,11,53,0,234,180,3.91,5.1,0.94,24
Kobe Tracy,141317,QB,IDAHO ST,12,45,0,0,0.0,0,0,42,0,0,0,35,0.0,3,15,186,7,15,56.7,72.1,79.2,73.7,,54.3,49.7,60.0,12,1,0,0,1,217,77,15,0,30,2,119,61,1.36,2.6,0.0,5
Joseph Koch,192206,HB,STTHOM,7,45,12,4,43.1,109,0,253,0,0,12,153,88.7,8,9,1129,0,31,81.7,76.6,80.3,,64.8,53.9,77.1,56.2,44,0,3,1,23,60,0,0,1,46,1,253,153,3.4,5.6,0.13,14
Zamariyon Kendall,178873,HB,MS VLY ST,7,45,7,0,0.0,0,0,80,0,1,7,88,33.3,0,4,228,0,22,81.7,56.6,80.5,,21.1,56.5,62.8,48.3,9,0,17,2,40,71,0,0,2,47,0,80,88,1.96,1.8,0.43,22
Savion Hart,185636,HB,GEORGETOWN,4,45,10,6,55.8,155,0,278,0,0,10,186,91.9,10,14,172,0,12,81.6,75.0,0.0,,75.1,54.1,74.9,59.7,40,1,0,0,15,47,0,0,2,45,2,278,186,4.13,6.2,0.0,33
Micah Bell,157984,HB,MERCER,13,45,9,2,16.5,41,0,248,0,0,9,177,77.0,8,14,219,1,22,57.6,74.1,80.6,,65.9,52.4,75.9,65.1,21,0,2,1,47,95,0,0,1,46,0,248,177,3.93,5.5,0.04,23
Jay Pearson,159593,HB,E ILLINOIS,11,45,11,3,50.9,110,0,216,0,3,11,155,94.6,5,8,158,1,13,59.5,63.7,79.4,,80.1,65.1,61.7,57.3,59,0,96,6,43,54,0,0,8,51,1,216,155,3.44,4.8,2.23,32
Corey Richardson,186255,HB,AUSTINPEAY,10,44,17,5,40.6,116,0,286,0,1,17,177,144.8,10,13,116,2,18,35.1,76.2,79.1,,76.0,55.7,78.3,57.3,45,0,61,6,37,60,0,0,7,50,1,286,177,4.02,6.5,1.65,25
Torin Baker,161659,HB,TENN TECH,12,44,5,2,40.3,100,0,248,0,0,5,130,27.9,6,8,309,0,31,81.9,67.2,80.6,,74.3,67.0,66.3,58.0,67,0,94,9,68,56,0,0,10,53,2,248,130,2.95,5.6,1.38,13
Nick Minicucci,173617,QB,DELAWARE,9,44,6,1,21.1,34,0,108,0,0,6,59,33.5,5,9,151,6,12,27.6,56.1,64.7,60.6,62.2,79.0,48.0,60.1,34,3,15,1,2,147,53,12,1,33,3,161,83,1.89,3.7,7.5,11
Lincoln Cardillo,178376,HB,MARIST,11,43,10,2,32.3,54,1,167,2,13,10,87,68.4,4,13,213,0,13,81.7,64.1,40.6,60.0,51.9,59.6,71.6,48.1,36,2,160,25,172,76,0,0,33,68,1,167,87,2.02,3.9,0.93,28
Desmin Jackson,159309,HB,DARTMOUTH,10,43,6,1,23.5,42,0,179,0,4,6,118,45.0,4,9,148,0,15,81.6,69.3,81.8,,13.2,72.8,69.2,64.6,42,0,119,18,85,78,0,0,21,61,0,179,118,2.74,4.2,1.4,28
