player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Dominic Logiudice,177993,ED,NICHOLLS,8,6,0,100.0,0,0,243,0,0,72.2,61.0,87.9,49.7,57.5,61.6,0,2,0,0,17,11.1,2,0,0,95.8,3,0,0,19,0,55,245,212,0,0,209,3,0,33,67,123,14,6,10,1,3,2,0,21,7,7.0
Ja'Marion Bonner,178010,S,NWSTATE,6,5,0,71.4,0,0,257,0,0,45.3,53.1,81.8,,65.9,29.6,0,0,0,0,29,33.3,10,1,0,139.9,5,0,0,45,1,67,166,0,0,0,0,0,77,166,0,99,41,4,15,0,7,0,1,65,43,13.0
Antonio Hall,178016,CB,NWSTATE,9,4,0,52.8,1,0,257,0,0,69.7,65.8,84.8,,46.1,32.3,0,0,0,0,52,29.4,10,4,1,104.3,19,0,0,20,436,218,482,3,0,0,3,0,18,479,0,264,5,5,20,0,36,0,3,263,105,13.8
Kemarion Ivory,178019,DI,NWSTATE,9,7,0,,1,0,257,0,0,60.0,62.9,58.2,62.5,62.4,59.9,1,4,0,0,,9.4,3,0,1,0.0,0,3,0,0,0,0,327,327,80,230,0,17,0,0,125,202,0,19,22,1,0,8,0,0,0,
Jeremiah Keppard,178021,S,NWSTATE,6,11,0,66.7,0,0,257,0,0,63.0,63.8,84.3,71.6,61.7,52.2,0,1,0,0,9,19.5,8,0,1,74.3,2,1,0,150,2,164,385,0,0,0,0,0,182,385,1,220,50,4,22,0,3,2,0,12,0,6.0
Ke'shawn Reed,178027,DI,NWSTATE,11,16,0,,0,0,257,2,0,64.2,66.2,84.8,54.3,69.1,51.4,2,5,0,0,,13.2,7,0,0,0.0,0,1,0,0,0,0,576,575,44,339,25,167,0,1,227,349,0,24,30,4,0,8,0,0,0,
Troy Santa Marina Jr.,178029,CB,NWSTATE,9,4,0,68.2,0,0,257,0,0,48.2,48.9,3.0,55.3,61.3,49.8,0,0,0,1,44,21.1,4,1,2,104.5,15,0,0,6,228,110,247,1,0,0,1,0,5,246,0,137,6,2,11,0,22,0,1,261,42,17.4
Cameron Gordon,178037,DI,ALABAMA ST,12,16,0,,1,0,105,0,0,58.8,60.9,61.7,57.3,63.1,77.1,1,8,0,0,,2.5,1,0,1,0.0,0,2,0,2,0,2,418,416,38,332,2,44,0,2,200,216,0,14,23,1,0,11,0,0,0,
J'Cori Hargon,178045,LB,JACKSON ST,12,5,0,73.9,0,0,194,0,0,57.8,67.7,81.8,64.4,74.9,60.8,1,4,0,0,66,12.8,5,1,0,123.6,17,0,0,219,0,123,250,14,0,0,14,0,0,236,20,107,17,18,29,3,23,5,1,251,203,14.8
Bryson Baggett,178051,S,MS VLY ST,5,2,0,60.0,0,0,228,0,0,57.9,50.2,0.0,55.4,48.5,64.4,0,0,0,0,29,12.5,1,0,1,79.6,3,0,0,22,11,30,65,0,0,0,0,0,22,65,1,34,10,2,5,0,5,0,0,33,5,11.0
