player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Jalon Howard,160234,WR,FL A&M,2,4.0,0,50.0,100.0,1,1,0,50.0,1,-0.73,0,164,0,24.5,61.0,43.6,,47.6,0.0,0,0,4,0.0,0,2,0,0.0,1,100.0,2,0.0,0,56.3,2,0,100.0,2,4,0,0.0,4.0,2.0
Khory Spruill,63241,HB,DELAWARE,12,-3.5,0,100.0,,0,0,0,0.0,0,-0.1,1,151,0,70.7,82.9,77.2,75.5,56.4,4.6,3,0,7,46.2,30,65,0,37.1,2,53.8,35,4.6,3,129.2,2,1,0.0,0,11,18,9.0,5.5,0.31
Jordan Sommerville,63087,WR,S DAKOTA,3,2.0,0,100.0,,0,0,0,0.0,0,-0.09,0,291,0,70.7,62.9,51.6,,52.7,0.0,0,0,6,0.0,0,31,0,38.7,2,100.0,31,0.0,0,81.3,2,0,100.0,31,7,3,1.5,3.5,0.23
Taj Hughes,160495,HB,DRAKE,4,14.0,0,50.0,,0,0,0,0.0,0,-0.87,0,153,0,66.7,69.0,60.6,21.0,59.5,7.7,1,0,3,46.2,6,13,0,16.7,1,46.2,6,7.7,1,56.3,2,0,0.0,0,3,10,10.0,3.0,0.5
Mitchell January,160496,WR,DRAKE,2,6.5,0,50.0,0.0,0,1,0,0.0,0,-1.13,0,153,0,66.7,61.0,57.8,,58.2,0.0,0,0,6,0.0,0,5,0,20.0,1,100.0,5,0.0,0,56.3,2,0,100.0,5,6,1,1.0,6.0,1.2
Eden James,160531,HB,HOWARD,10,-3.5,0,50.0,,0,0,0,0.0,0,-0.52,0,184,0,66.7,84.6,74.5,49.5,53.6,0.0,0,1,-5,34.5,20,58,0,42.1,1,63.8,37,0.0,0,16.7,2,0,1.7,1,-5,1,1.0,-5.0,-0.14
Treylin Whaley,160858,WR,NICHOLLS,1,8.0,0,50.0,,0,0,0,0.0,0,-0.29,0,243,0,66.7,61.0,58.2,,58.5,0.0,0,0,5,0.0,0,4,0,25.0,1,100.0,4,50.0,2,56.3,2,0,50.0,2,5,1,1.0,5.0,1.25
Tonorris Brookins II,161262,WR,MS VLY ST,7,12.5,0,50.0,0.0,0,1,0,0.0,0,-0.45,1,228,0,66.7,61.0,57.5,,56.5,0.0,0,0,8,0.0,0,33,0,33.3,1,100.0,33,9.1,3,60.4,2,0,90.9,30,8,1,1.0,8.0,0.24
Joseph Kennerly Jr.,161363,WR,MORGAN ST,8,12.0,1,50.0,,0,0,0,0.0,0,-0.44,1,235,0,66.7,61.0,53.9,,55.2,0.0,0,0,16,0.0,0,35,0,24.2,1,94.3,33,100.0,35,77.1,2,0,0.0,0,16,13,13.0,16.0,0.48
Taurean Muhammad,161427,WR,HOUCHR,2,26.5,0,0.0,,0,0,0,,0,-0.99,0,183,0,,61.9,52.8,,53.3,0.0,0,0,0,0.0,0,10,0,10.0,0,100.0,10,0.0,0,39.6,2,0,100.0,10,0,0,,,0.0
JJ Hudson,161875,FB,CITADEL,1,10.5,0,50.0,,0,0,0,0.0,0,0.85,1,139,0,66.7,68.9,74.5,,71.9,20.0,1,0,14,0.0,0,5,0,60.0,1,100.0,5,0.0,0,112.5,2,1,0.0,0,14,0,0.0,14.0,2.8
Fred Highsmith,162111,WR,CHARLES SO,1,18.5,1,50.0,,0,0,0,0.0,0,1.06,0,135,0,66.7,61.0,66.7,,65.6,0.0,0,0,19,0.0,0,6,0,60.0,1,83.3,5,0.0,0,83.3,2,0,100.0,6,19,6,6.0,19.0,3.8
Max Monroe,162264,QB,PRESBYTERN,4,3.5,0,50.0,,0,0,0,0.0,0,-0.29,1,271,0,66.7,61.0,49.4,36.5,54.1,91.3,21,0,11,30.4,7,23,0,26.1,1,69.6,16,4.3,1,66.7,2,0,0.0,0,11,9,9.0,11.0,0.69
Cameron Sampson,169539,WR,SACRAMENTO,1,-4.5,0,100.0,,0,0,0,0.0,0,-0.59,0,279,0,70.7,62.9,61.8,,62.6,0.0,0,0,5,0.0,0,3,0,0.0,2,100.0,3,33.3,1,81.3,2,0,33.3,1,7,16,8.0,3.5,2.33
Samuel Gbatu Jr.,162378,WR,UC DAVIS,1,19.5,0,0.0,0.0,0,1,0,,0,-0.86,0,322,0,,62.5,27.6,,40.6,0.0,0,0,0,0.0,0,2,1,0.0,0,100.0,2,100.0,2,39.6,2,0,0.0,0,0,0,,,0.0
DJ Brown,163933,HB,LEHIGH,2,0.5,0,100.0,,0,0,0,0.0,0,-0.22,0,205,0,70.7,68.2,60.6,76.0,65.1,0.0,0,0,4,30.0,3,10,0,22.2,2,60.0,6,0.0,0,79.2,2,0,0.0,0,4,3,1.5,2.0,0.67
Owen Wright,57486,HB,MONMOUTH,11,2.0,0,100.0,,0,0,0,0.0,0,-0.05,2,231,0,70.7,67.6,74.7,78.2,62.4,1.8,1,0,14,33.3,19,57,0,47.2,2,61.4,35,1.8,1,158.3,2,1,0.0,0,28,24,12.0,14.0,0.8
Kenny Odom,164032,WR,AUSTINPEAY,1,-2.0,0,100.0,,0,0,0,0.0,0,-0.12,1,116,1,70.7,9.0,48.8,,51.1,0.0,0,0,17,0.0,0,3,0,66.7,2,100.0,3,33.3,1,79.2,2,0,66.7,2,6,10,5.0,3.0,2.0
Trevon Kleint,164095,WR,MOREHEAD,4,5.0,0,0.0,0.0,0,1,0,,0,0.03,0,234,0,,66.6,53.5,,53.4,0.0,0,0,0,0.0,0,16,0,35.7,0,87.5,14,0.0,0,39.6,2,0,100.0,16,0,0,,,0.0
Austin York,164335,TE,E WASHGTON,8,-1.0,0,100.0,,0,0,0,0.0,0,-0.64,1,161,0,70.7,62.9,55.1,50.7,58.4,52.2,12,0,6,39.1,9,23,0,28.6,2,52.2,12,13.0,3,118.8,2,1,4.3,1,3,5,2.5,1.5,0.25
Jared White,164405,HB,MONTANA ST,2,-1.0,0,100.0,,0,0,0,0.0,0,0.32,0,233,0,70.7,72.7,75.5,77.3,66.1,0.0,0,0,7,50.0,6,12,0,45.5,2,50.0,6,0.0,0,79.2,2,0,0.0,0,5,7,3.5,2.5,0.83
