player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa,_provenance
Diego Pavia,156927,QB,VANDERBILT,13,79.2,356,379,9.8,2.88,5,30,7.4,70.4,267,1,158,5.3,454,15,0.37,199,333,69.9,92.2,90.7,82.1,3,8,484,7,55.7,13.3,116.3,4.6,21,51,0,15,29,12,2.5,3527,9.3,2025_this_team
Blaze Berlowitz,171066,QB,VANDERBILT,6,62.5,16,17,10.3,2.91,0,1,5.6,52.9,9,0,8,10.0,20,1,0.62,7,333,73.6,57.2,44.9,68.5,0,0,21,0,50.0,0.0,97.9,0.0,0,2,0,1,1,1,4.8,131,7.7,2025_this_team
Whit Muschamp,188521,QB,VANDERBILT,1,100.0,3,3,2.7,2.0,0,0,0.0,66.7,2,0,0,33.3,3,1,0.84,1,333,66.4,66.0,58.8,64.7,0,0,3,0,33.3,,109.7,0.0,0,0,0,0,0,0,0.0,40,13.3,2025_this_team
Drew Dickey,163710,QB,VANDERBILT,1,50.0,2,2,21.5,3.1,0,1,50.0,50.0,1,0,0,0.0,2,0,0.97,1,333,69.6,85.5,82.1,68.0,0,0,2,0,50.0,,95.8,0.0,0,0,0,0,0,0,0.0,28,14.0,2025_this_team
