player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,_provenance
Jeffery Pittman,172552,HB,SO MISS,11,156,41,5,14.1,96,0,680,0,5,41,513,83.6,16,45,296,2,49,72.1,80.7,43.4,46.8,63.5,68.6,82.6,54.6,25,1,104,25,131,198,0,0,28,181,8,680,513,3.29,4.4,0.79,104,2025_this_team
Brandon Hood,190785,HB,UMASS,12,96,18,5,43.9,169,0,385,4,4,18,275,58.9,7,18,216,2,59,58.7,57.3,32.8,,34.9,40.8,63.9,57.5,90,1,88,11,117,125,0,0,18,107,2,385,275,2.86,4.0,0.75,37,arrival_2025_at_UMASS
Matt Jones,146805,HB,SO MISS,13,83,10,1,5.2,17,0,325,2,1,10,193,26.9,7,18,296,0,35,85.9,69.1,27.0,,86.1,51.9,72.3,53.7,17,1,86,12,94,116,0,0,17,95,4,325,193,2.33,3.9,0.91,46,2025_this_team
Robert Briggs,163425,HB,SO MISS,11,63,12,4,24.7,75,0,304,0,1,12,192,52.8,10,15,296,1,26,65.1,64.9,81.4,,27.5,69.9,66.4,43.7,24,0,95,12,82,72,0,0,16,75,1,304,192,3.05,4.8,1.16,32,2025_this_team
Jaylin Carter,199210,HB,SO MISS,9,38,3,1,16.3,27,0,166,0,16,3,72,61.0,4,10,296,1,23,58.5,68.4,81.1,,40.6,82.5,64.6,59.2,27,0,138,21,77,45,0,0,23,59,2,166,72,1.89,4.4,1.79,13,2025_this_team
Jamarice Wilder,198704,HB,LOUISVILLE,1,4,0,0,0.0,0,0,15,0,0,0,15,0.0,0,0,210,0,2,68.6,68.5,70.8,,73.7,58.9,67.1,60.0,7,0,0,0,1,5,0,0,0,4,0,15,15,3.75,3.8,0.0,2,arrival_2025_at_LOUISVILLE
Josiah Basten,205385,HB,SO MISS,1,1,0,0,0.0,0,0,5,0,0,0,2,0.0,0,0,296,0,0,62.5,65.2,63.5,,,,63.2,,5,0,0,0,0,1,0,0,0,1,0,5,2,2.0,5.0,,1,2025_this_team
