player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,_provenance
Cam Cook,173133,HB,JVILLE ST,13,295,101,24,40.5,669,0,1650,3,13,101,1142,135.8,53,92,196,4,71,72.3,85.9,88.7,,75.2,59.6,89.4,59.8,73,0,291,30,300,471,0,0,41,325,16,1650,1142,3.87,5.6,0.97,222,arrival_2025_at_JVILLE ST
Diore Hubbard,189933,HB,W VIRGINIA,8,96,15,1,8.7,29,0,335,0,3,15,276,46.2,7,21,343,0,19,86.9,71.4,83.6,,61.9,64.9,71.3,64.3,29,0,156,16,94,181,0,0,16,112,4,335,276,2.88,3.5,1.66,77,2025_this_team
Cyncir Bowers,199540,HB,W VIRGINIA,10,63,4,4,34.8,86,0,247,2,5,4,131,26.4,4,10,343,2,15,47.0,55.3,82.2,,33.0,49.4,59.6,57.0,26,0,134,8,80,108,0,0,13,71,2,247,131,2.08,3.9,1.68,48,2025_this_team
Clay Ash,183873,HB,W VIRGINIA,8,43,3,0,0.0,0,0,131,0,1,3,107,18.8,3,7,343,0,5,81.3,60.8,81.6,,60.3,59.8,61.4,53.5,11,0,59,10,58,65,0,0,12,53,0,131,107,2.49,3.0,1.02,38,2025_this_team
Tye Edwards,158816,HB,W VIRGINIA,4,28,7,2,32.4,45,0,139,0,0,7,96,85.7,5,12,343,0,10,78.9,72.7,77.2,,81.6,52.9,73.6,48.3,27,0,0,0,13,43,0,0,0,28,3,139,96,3.43,5.0,0.0,18,2025_this_team
Jahiem White,173192,HB,W VIRGINIA,2,24,10,2,38.3,51,0,133,0,1,10,119,202.0,4,7,343,0,6,78.0,74.0,78.1,,52.5,59.9,74.2,69.2,32,0,15,3,19,38,0,0,3,27,3,133,119,4.96,5.5,0.79,18,2025_this_team
Tyler Jacklich,174823,HB,W VIRGINIA,3,8,1,0,0.0,0,0,32,0,0,1,18,28.1,2,4,343,1,4,20.6,50.9,74.7,,73.6,56.6,51.3,58.1,10,0,0,0,4,21,0,0,0,8,0,32,18,2.25,4.0,0.0,4,2025_this_team
