player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Clayton Ollendieck,147263,TE,TROY,14,0,0,318,,,75.7,,,,64.0,,,66.2,0,0,62,0,0,3,65,0,0
Caleb Ransaw,147264,CB,TROY,10,1,0,318,85.3,,,,,,80.1,,,74.7,0,0,0,16,33,0,1,21,1
John Butler,147266,S,TROY,14,0,0,318,,,,,,,64.4,,,82.8,2,0,0,0,74,0,3,43,3
Phillip Lee,147269,ED,TROY,14,0,0,318,59.8,,,,,,76.2,,,81.4,1,1,0,1,74,50,5,44,5
Jordan Stringer,147271,LB,TROY,8,0,0,318,59.9,,,,,,55.6,,,29.1,0,1,0,5,9,0,12,14,0
Scott Taylor Renfroe,147275,K,TROY,4,0,0,318,,,,,71.7,,60.0,,,69.8,0,0,0,0,8,0,0,0,0
Zach Long,147276,K,TROY,11,0,0,318,,,,,82.0,,62.4,,,74.8,0,0,0,0,35,0,0,0,0
Caleb Robbins,147277,LS,TROY,1,0,0,318,,,63.4,,,0.0,33.4,,,63.0,0,0,6,0,0,0,3,0,1
Jeremy Butler,147279,ED,GA STATE,1,0,0,175,,,,,,,60.0,,,67.2,0,0,0,0,0,0,0,1,0
Buck Cooper,147280,CB,GA STATE,10,0,0,175,60.0,,,,,,74.9,,,81.7,3,0,0,2,59,17,45,31,5
Montavious Cunningham,147281,T,GA STATE,6,0,0,175,,,68.9,,,,63.9,,,70.8,0,0,26,0,0,0,3,0,0
Chris Davis Jr.,147283,ED,GA STATE,12,0,0,175,60.0,,,58.0,,,56.3,,,37.1,0,1,0,1,32,70,0,30,0
Tylon Dunlap,147285,DI,GA STATE,11,0,0,175,59.5,,,,,,45.4,,,27.2,0,1,0,20,0,0,0,5,0
Evan Graham,147287,LB,GA STATE,2,0,0,175,,,,,,,61.5,,,66.7,0,0,0,0,5,7,0,0,0
Jordan Jones,147289,LB,GA STATE,9,0,0,175,58.9,,,,,,61.8,,,77.1,0,0,0,21,48,0,45,15,2
Makkah Jordan,147290,S,GA STATE,1,0,0,175,,,60.0,,,,61.3,,,61.5,0,0,6,0,0,0,0,0,0
Fuches Lewis II,147291,DI,GA STATE,5,0,0,175,59.2,,,,,,61.1,,,66.5,0,0,0,5,0,0,0,4,0
Tony McCray Jr.,147293,CB,GA STATE,12,0,0,175,,,,,,,62.6,,,77.9,5,0,0,0,69,0,31,26,3
Jaylin Tolbert,147295,WR,GA STATE,7,0,0,175,,,,,,,61.9,,,75.0,0,0,0,0,0,35,0,8,0
Logan Burks,147301,WR,ARMY,1,0,0,114,,,,,,,50.9,,,63.3,0,0,0,0,2,0,0,0,0
Miles Stewart,147306,HB,ARMY,7,0,0,114,,,,72.0,,,73.8,,,90.4,0,0,0,0,0,22,0,20,0
Lucky Brooks,147309,HB,ARMY,1,0,0,114,,,,,,,69.2,,,65.6,0,0,0,0,3,0,0,0,1
Jarel Dickson,147310,FB,ARMY,9,0,0,114,,,,,,,68.6,,,69.6,0,0,0,0,0,38,0,0,0
Casey Reynolds,147315,TE,ARMY,4,1,0,114,,,,,,,70.5,,,67.7,0,0,0,0,4,18,0,0,0
Will Jeffcoat,147322,G,ARMY,12,0,0,114,,,78.0,,,,65.6,,,64.6,0,0,56,0,0,0,0,0,0
David Hoyt,147325,T,ARMY,4,0,0,114,59.7,,67.0,,,,62.8,,,64.6,0,0,23,1,0,0,0,0,0
Tommy Zitiello,147329,S,ARMY,11,0,0,114,59.8,,,,,,66.9,,,75.5,0,0,0,1,55,36,0,28,3
Chance Keith,147333,CB,ARMY,9,1,0,114,,,,,,,55.7,,,72.8,0,0,0,0,34,16,0,10,2
Josiah Banks,147337,LB,ARMY,5,1,0,114,,,,,,,29.4,,,70.9,1,0,0,0,25,0,0,1,0
Max DiDomenico,147338,S,ARMY,12,1,0,114,60.0,,,,,,57.6,,,33.4,0,1,0,5,41,38,0,22,1
Adam Cash,147339,CB,ARMY,4,0,0,114,,,,,,,67.9,,,71.2,0,0,0,0,24,0,0,0,1
Blane Cleaver,147342,T,ARMY,5,0,0,114,,,66.8,,,,61.8,,,64.7,0,0,19,0,0,7,4,0,0
Tyler Rafferty,147344,ED,ARMY,2,0,0,114,,,,,,,62.4,,,66.0,0,0,0,0,7,0,0,1,0
Camden Vining,147345,LB,UCF,12,0,0,323,,,,,,,62.8,,,80.0,0,0,0,0,21,57,0,38,0
Brett Gerena,147346,LB,ARMY,11,1,0,114,60.0,,,59.9,,,64.7,,,71.3,1,0,0,2,50,19,35,5,2
Bo Kite,147347,FB,ARMY,11,0,0,114,,,68.4,59.9,,,66.0,,,70.9,0,0,24,0,0,43,0,0,0
Kalvyn Crummie,147348,LB,ARMY,11,1,0,114,59.9,,,,,,69.7,,,68.0,0,0,0,12,29,0,38,4,2
Brian Burton,147351,LB,ARMY,1,0,0,114,,,,,,,60.0,,,64.4,0,0,0,0,0,0,0,1,0
Lucas Scott,147358,TE,ARMY,1,0,0,114,,,60.0,,,,60.1,,,66.1,0,0,2,0,0,0,0,0,0
David Crossan,147360,T,ARMY,12,0,0,114,,,72.4,,,,66.9,,,67.4,0,0,43,0,0,34,0,0,0
Trey Sofia,147362,ED,ARMY,10,0,0,114,59.4,,70.4,,,,62.5,,,65.3,0,0,31,9,0,1,0,1,0
Dre Miller,147363,ED,ARMY,2,0,0,114,,,62.0,,,,62.2,,,62.5,0,0,13,0,0,0,0,0,0
Kyle Lewis,147364,DI,ARMY,1,0,0,114,59.6,,,,,,59.8,,,62.0,0,0,0,1,0,0,0,0,0
Trey Gronotte,147367,K,ARMY,2,0,0,114,,60.0,,,69.1,,60.0,,,66.5,0,0,2,0,3,0,0,0,1
Matthew Rhodes,147369,P,ARMY,2,0,0,114,,,60.0,,,,60.0,,60.0,63.5,0,0,1,0,0,0,1,0,0
Keelan Marion,147370,WR,UCONN,1,0,0,146,,,,,,,60.0,60.2,,62.8,0,0,0,0,0,0,0,2,0
Devontae Houston,147375,HB,UCONN,5,0,0,146,,,,59.7,,,60.3,,,69.2,0,0,0,0,5,24,6,0,0
Brian Brewton,147377,HB,UCONN,3,0,0,146,,,,55.2,,,60.0,60.6,,63.4,0,0,0,0,0,10,0,3,0
Christopher Fortin,147384,T,UCONN,12,0,0,146,,,73.9,,,,65.6,,,75.7,0,0,45,0,0,0,0,0,0
Robby Rochester,147387,G,TCU,13,0,0,305,,,77.8,,,,65.4,,,64.2,0,0,78,0,0,0,0,0,0
Brandon Niemenski,147390,TE,UCONN,12,0,0,146,,,73.2,,,,61.4,,,66.2,0,0,46,0,0,13,0,0,0
Kaleb Anthony,147393,CB,UCONN,5,0,0,146,59.5,,,,,,65.1,,,72.1,1,0,0,18,8,5,9,5,1
Malcolm Bell,147394,CB,UCONN,13,1,1,146,89.7,,,,,,60.2,,,39.8,3,1,0,39,55,31,38,8,2
Tui Faumuina-Brown,147395,LB,UCONN,13,1,0,146,59.9,,,,,,54.3,,,37.3,1,1,0,2,55,71,0,25,1
Stan Cross,147396,S,UCONN,12,0,0,146,59.9,,,,,,73.3,,,78.7,0,0,0,6,0,46,0,34,0
Durante Jones,147397,S,UCONN,12,1,0,146,60.0,,,,,,61.0,,,29.0,0,1,0,53,32,0,0,20,4
Deon Mclean Jr.,147398,S,UCONN,4,1,0,146,60.0,,,,,,45.7,,,69.5,0,0,0,1,5,6,0,0,0
Alfred Chea,147399,CB,UCONN,2,0,0,146,,,,,,,71.7,,,71.4,0,0,0,0,2,9,1,0,0
Desmond Fogle,147400,LB,UCONN,9,1,0,146,,,,,,,49.4,,,76.5,3,0,0,0,41,44,0,5,4
John Bechtle,147402,LB,UCONN,13,0,0,146,,,,,,,48.7,,,65.0,4,1,0,0,55,71,74,44,3
Carter Hooper,147404,ED,UCONN,4,0,0,146,59.4,,,,,,60.2,,,65.4,0,0,0,13,0,0,14,0,0
Tre Wortham,147406,CB,UCONN,13,0,0,146,59.5,,,,,,61.9,,,73.5,0,0,0,59,0,0,0,8,0
Langston Hardy,147407,ED,UCONN,2,0,0,146,60.0,,,,,,60.6,,,65.1,0,0,0,1,0,0,0,2,0
Pryce Yates,147408,ED,UCONN,10,0,0,146,59.2,,,,,,60.2,,,66.7,0,0,0,37,0,0,0,5,0
Collin McCarthy,147409,DI,UCONN,4,0,0,146,59.3,,60.0,,,,59.6,,,64.3,0,0,1,10,0,0,0,0,0
Noe Ruelas,147413,K,UCONN,13,2,0,146,,70.7,,,67.0,,63.3,,,74.9,0,0,46,0,54,0,0,0,2
Eni Falayi,147417,TE,UMASS,5,0,0,216,,,,,,,66.5,,,70.1,0,0,0,0,0,26,0,0,0
Michael Fitzgerald II,147418,WR,UMASS,9,0,0,216,,,,,,,60.8,,,78.1,0,0,0,0,12,57,0,0,0
Tommy Brandt,147423,T,UMASS,11,0,0,216,,,22.1,,,,37.0,,,70.4,1,0,29,0,0,0,0,0,0
Qualeem Charles,147424,G,UMASS,4,0,0,216,,,,,,,60.3,,,64.0,0,0,0,0,0,0,5,0,0
Javon Batten,147429,S,UMASS,8,0,0,216,60.0,,,,,,60.8,,,64.7,0,0,0,23,8,0,0,0,0
Dorian Helm,147431,S,UMASS,12,0,0,216,,,,,,,58.0,,,77.9,2,0,0,0,40,13,0,49,1
Dominic Schofield,147434,ED,UMASS,10,0,0,216,60.3,,,,,,51.0,,,70.6,0,0,0,24,5,3,1,6,0
Jason Weir,147435,ED,UMASS,1,0,0,216,,,,,,,54.0,,,66.2,0,0,0,0,0,8,0,0,0
Louce Julien,147436,ED,UMASS,5,0,0,216,59.5,,,,,,58.6,,,67.5,0,0,0,3,10,0,0,0,1
Jordan Mahoney,147438,CB,UMASS,12,0,0,216,59.5,,,,,,62.2,,,73.1,0,0,0,59,5,0,4,0,0
Aquan Robinson,147440,DI,UMASS,9,0,0,216,,,,,,,64.0,,,72.6,0,0,0,0,0,51,0,0,0
Ethan Dumont,147441,LS,UMASS,12,0,0,216,,,73.5,,,78.5,69.7,,,68.2,1,0,31,0,0,0,82,0,2
CJ Kolodziey,147443,P,UMASS,12,0,0,216,,,64.6,,62.4,,51.6,,37.7,29.1,0,4,31,0,42,0,81,0,1
Deion Colzie,147473,WR,NOTRE DAME,9,0,0,258,,,,,,,66.9,,,74.9,0,0,0,0,0,41,0,0,0
Lorenzo Styles Jr.,147474,WR,NOTRE DAME,13,0,0,258,,,,73.3,,,60.6,,,72.1,1,0,0,0,0,18,29,0,0
Audric Estime,147476,HB,NOTRE DAME,12,0,0,258,,,,61.8,,,61.4,,,72.6,0,0,0,0,2,58,0,2,0
Rocco Spindler,147478,G,NOTRE DAME,13,0,0,258,,,79.5,,,,66.2,,,65.0,0,0,69,0,0,0,0,0,0
Blake Fisher,147479,T,NOTRE DAME,13,0,0,258,,,76.0,,,,65.1,,,67.1,0,0,69,0,0,0,0,0,0
Joe Alt,147481,T,NOTRE DAME,13,0,0,258,,,76.7,,,,65.1,,,64.3,0,0,69,0,0,0,0,0,0
Jayden Thomas,147485,WR,NOTRE DAME,12,0,0,258,,,,,,,57.8,,,70.0,0,0,0,0,0,56,0,0,0
Mitchell Evans,147486,TE,NOTRE DAME,7,0,0,258,,,73.6,,,,63.7,,,65.1,0,0,47,0,0,2,4,0,0
Ryan Barnes,147487,CB,NOTRE DAME,1,0,0,258,,,,,,,60.4,,,68.0,0,0,0,0,0,1,0,1,0
Justin Walters,147489,S,NOTRE DAME,4,0,0,258,,,,,,,67.6,,,69.0,0,0,0,0,22,0,0,2,0
Khari Gee,147491,LB,GA TECH,12,0,0,176,60.0,,,,,,56.4,,,74.3,1,0,0,1,6,63,0,10,0
Prince Kollie,147492,LB,NOTRE DAME,13,2,0,258,59.9,,,61.8,,,89.8,,,66.4,0,1,0,6,76,52,42,55,2
Davis Sherwood,147493,TE,NOTRE DAME,13,0,0,258,,,76.2,,,,62.7,,,71.4,1,0,69,0,0,48,49,0,0
Gabriel Rubio,147499,DI,NOTRE DAME,9,0,0,258,58.1,,,,,,58.2,,,66.6,0,0,0,14,0,0,0,1,0
Charles Brown,147647,WR,TEXAS ST,6,0,0,314,,,,59.4,,,62.7,,,71.2,1,0,0,0,13,3,14,0,2
Maxwell James,148356,WR,JAMES MAD,6,1,0,197,,,,,,,58.2,,,72.7,1,0,0,0,0,13,20,0,0
Kye Holmes,148357,S,JAMES MAD,4,0,0,197,,,,,,,67.5,,,76.0,0,0,0,0,27,8,18,24,2
Skylar Martin,148359,LB,JAMES MAD,10,3,0,197,,,,,,,74.6,,,81.7,1,1,0,0,68,40,21,58,1
Zach Horton,148361,TE,JAMES MAD,9,0,0,197,,,,59.9,,,65.4,,,71.7,0,0,0,0,0,42,9,0,0
Josh Toner,148364,G,JAMES MAD,7,0,0,197,,,20.3,,,,34.4,,,65.8,0,0,42,0,0,0,0,0,0
Jailin Walker,148369,LB,JAMES MAD,10,0,0,197,59.6,,,,,,65.2,,,70.8,0,0,0,28,0,0,22,13,1
Chantz Harley,148479,CB,MARYLAND,8,0,0,215,59.9,,,,,,57.9,,,72.3,0,0,0,1,17,15,6,11,1
Braxton Turner,149319,DI,UTAH,1,0,0,328,,,,,,,60.2,,,64.3,0,0,0,0,0,1,0,1,0
Conor Hunt,149321,P,RICE,13,0,0,275,,,60.0,,,,63.0,,63.7,73.9,0,0,6,0,0,0,50,0,0
Caleb Gossett,149528,WR,OHIO,2,0,0,259,,,,,,,60.9,,,67.9,0,0,0,0,0,0,0,4,0
Justus Del Rio,149637,CB,BOISE ST,2,0,0,120,,,,,,,69.7,,,69.5,0,0,0,0,9,0,0,5,1
Jordan Oladokun,149952,CB,BOWL GREEN,13,0,1,122,60.1,,,,,,47.5,,,29.1,0,1,0,41,6,0,0,13,0
VJ Bronson,150383,DI,ARK STATE,5,0,0,113,58.3,,,,,,60.1,,,68.7,0,0,0,10,0,0,0,7,0
Marcel Walker-Burgess,150625,ED,NEVADA,9,0,0,239,58.8,,60.0,,,,50.1,,,28.0,0,2,6,15,16,44,36,6,2
Aristotle Bowles,150666,LB,NC STATE,1,0,0,248,,,,,,,60.0,,,63.9,0,0,0,0,1,0,0,0,0
Caden Barnett,150690,T,WYOMING,13,0,0,351,,,76.2,,,,66.6,,,68.4,0,0,53,0,0,0,78,0,1
Wrook Brown,150691,CB,WYOMING,13,0,0,351,59.9,,,,,,64.9,,,75.2,0,0,0,25,25,21,13,13,2
Jovan Marsh,150696,CB,WYOMING,2,1,0,351,,,,,,,70.4,,,72.5,0,0,0,0,8,0,0,8,1
John Michael Gyllenborg,150698,TE,WYOMING,13,2,0,351,,,,,,,63.8,,,78.6,1,0,0,0,49,64,51,7,1
Sam Scott,150701,LB,WYOMING,9,0,0,351,,,,,,,74.3,,,77.4,0,0,0,0,41,0,0,45,1
Kolbey Taylor,150703,CB,WYOMING,9,0,0,351,60.0,,,,,,65.9,,,76.6,0,0,0,2,0,0,0,48,0
Jack Walsh,150706,G,WYOMING,12,0,0,351,,,74.2,,,,64.9,,,69.8,0,0,53,0,0,0,0,0,0
Tommy Wroblewski,150708,S,WYOMING,4,0,0,351,,,60.0,,,68.5,67.0,,,70.2,0,0,3,0,1,0,0,15,0
Micah Young,150709,LB,WYOMING,13,0,0,351,,,,59.9,,,69.3,,,81.3,0,0,0,0,46,47,2,60,3
Dai'Sean Stevens,150811,CB,FAU,1,0,0,165,,,60.0,,,,60.5,,,64.0,0,0,1,0,0,0,6,0,0
Kingston McKinstry,151038,S,E CAROLINA,7,2,0,156,,,,,,,60.6,,,77.5,1,0,0,0,42,8,1,18,1
Julius Wood,151039,S,E CAROLINA,13,0,0,156,60.0,,,,,,61.8,,,68.3,0,0,0,52,16,0,0,0,0
Jacob Coleman,151043,TE,MIDDLE TN,8,0,0,224,,,64.1,,,,62.5,,,68.9,0,0,13,0,0,40,0,0,0
Devon King,151046,S,E CAROLINA,12,3,0,156,,,,,,,65.7,,,83.1,3,0,0,0,71,50,0,49,10
Laith Marjan,151049,K,E CAROLINA,3,0,0,156,,,,,71.2,,61.3,,,72.5,1,0,0,0,19,0,0,0,1
Joseph McKay,151050,HB,E CAROLINA,1,0,0,156,,,,,,,50.5,,,65.6,0,0,0,0,8,0,0,0,0
Richard Pearce,151054,G,E CAROLINA,13,0,0,156,,,77.0,,,,60.7,,,28.9,0,1,71,0,0,0,0,0,0
Slade Roy,151058,LS,LSU,14,0,0,211,,,77.1,,,38.3,65.2,,,66.9,0,0,73,0,0,0,50,0,4
Cruz Temple,151061,LB,ARK STATE,4,0,0,113,,,,,,,70.7,,,71.9,0,0,0,0,1,20,0,7,0
G'Mone Wilson,151062,CB,E CAROLINA,9,0,0,156,,,,57.5,,,44.5,,,71.9,3,0,0,0,34,33,8,3,1
Brendan Farrell,151065,K,VIRGINIA,10,0,0,335,,48.9,,,85.2,,62.8,,57.3,74.3,0,0,14,0,38,0,3,0,0
Jared Rayman,151066,QB,VIRGINIA,10,0,0,335,,,65.3,,,,61.8,,,61.0,0,0,38,0,0,0,0,0,0
Zachary Teter,151067,G,VIRGINIA,4,0,0,335,,,67.8,,,,63.2,,,66.6,0,0,15,0,0,0,0,0,0
