player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,_provenance
Bill Davis,176332,HB,LA LAFAYET,13,158,30,8,36.6,281,0,767,1,0,30,558,63.1,21,36,207,0,50,90.3,76.1,85.5,,56.3,53.0,80.1,48.6,76,0,79,10,115,220,0,0,14,168,6,767,558,3.53,4.9,0.69,108,arrival_2025_at_LA LAFAYET
Marcellous Hawkins,200025,HB,VA TECH,11,119,44,12,39.8,296,0,744,2,3,44,562,170.7,23,34,337,0,31,88.7,86.0,43.2,,72.3,58.4,90.9,51.5,40,1,79,11,119,181,0,0,14,130,1,744,562,4.72,6.3,0.66,86,2025_this_team
Terion Stewart,130386,HB,VA TECH,10,82,39,4,37.1,174,1,469,2,0,39,399,220.7,14,23,337,1,22,69.5,73.9,0.0,,80.0,38.4,78.6,56.0,85,2,19,4,48,118,0,0,7,86,0,469,399,4.87,5.7,0.4,60,2025_this_team
Jeffrey Overton Jr.,200026,HB,VA TECH,4,25,3,3,63.7,93,0,146,0,0,3,76,35.1,3,5,337,0,6,78.2,73.5,80.3,,68.6,71.7,72.1,53.0,38,0,36,1,24,40,0,0,4,26,1,146,76,3.04,5.8,1.5,19,2025_this_team
P.J. Prioleau,144099,HB,VA TECH,8,13,0,1,27.1,16,0,59,1,9,0,40,106.5,2,3,337,0,1,77.8,66.6,77.0,,11.3,82.9,67.1,58.5,16,0,90,13,34,19,0,0,15,26,0,59,40,3.08,4.5,2.65,12,2025_this_team
Jeremiah Coney,174777,HB,VA TECH,5,8,4,1,44.7,21,0,47,1,1,4,38,215.9,2,4,337,0,0,72.8,58.1,74.8,,19.3,39.5,69.1,59.7,21,1,15,3,13,16,0,0,4,11,0,47,38,4.75,5.9,1.15,8,2025_this_team
Braydon Bennett,122318,HB,VA TECH,4,4,1,0,0.0,0,0,8,0,1,1,8,80.0,0,2,337,0,1,68.9,61.7,75.4,,81.8,56.6,62.5,59.7,3,0,2,1,16,6,0,0,3,5,1,8,8,2.0,2.0,0.13,3,2025_this_team
Tyler Mason,184937,HB,VA TECH,3,3,3,0,0.0,0,0,20,0,0,3,25,500.0,1,1,337,0,0,69.7,71.1,72.6,,78.2,65.2,69.7,60.0,13,0,-4,2,6,7,0,0,2,5,0,20,25,8.33,6.7,-0.67,2,2025_this_team
