player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa,_provenance
AJ Hairston Jr.,184157,QB,UMASS,10,64.6,195,220,9.3,3.0,4,5,2.2,49.5,109,0,125,13.5,254,17,-0.32,54,216,50.8,56.3,58.5,51.1,9,4,269,4,31.1,12.0,60.6,5.9,15,19,0,12,4,7,2.6,988,4.5,2025_this_team
Grant Jordan,151147,QB,UMASS,7,65.7,102,108,10.1,3.1,3,4,3.6,56.5,61,0,59,9.0,128,6,-0.32,31,216,77.1,64.8,57.5,72.1,0,2,130,0,35.9,20.3,72.5,9.4,12,8,0,3,3,3,2.3,564,5.2,2025_this_team
Brandon Rose,158503,QB,UMASS,6,71.1,83,88,7.6,2.82,1,0,0.0,59.1,52,0,40,11.9,101,7,-0.32,24,216,28.4,53.1,53.8,54.4,0,3,105,0,36.6,17.5,61.0,6.9,7,6,0,4,1,6,5.7,424,4.8,2025_this_team
William Watson III,174771,QB,VA TECH,3,50.0,4,4,15.8,3.3,0,1,25.0,50.0,2,0,5,0.0,8,0,-0.1,2,337,22.8,55.0,58.3,60.3,0,0,8,1,25.0,60.0,95.8,37.5,3,1,0,0,0,0,0.0,77,19.3,arrival_2025_at_VA TECH
