player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa,_provenance
Katin Houser,158386,QB,E CAROLINA,12,74.2,388,407,9.3,2.23,4,23,5.3,65.8,268,0,103,6.9,442,20,0.19,156,156,48.7,84.0,82.3,66.1,4,6,473,1,50.2,14.6,100.4,3.4,15,18,0,11,19,12,2.5,3323,8.2,2025_this_team
Mitch Griffis,123386,QB,TEXAS TECH,5,83.9,31,36,8.0,2.38,3,4,9.1,72.2,26,0,13,0.0,43,0,0.31,20,315,45.8,83.2,84.1,64.7,1,0,51,0,53.5,23.1,122.1,7.0,3,4,0,1,2,1,2.0,357,9.9,arrival_2025_at_TEXAS TECH
Chaston Ditta,198345,QB,E CAROLINA,4,80.0,20,24,8.4,2.52,2,1,4.0,50.0,12,0,11,25.0,30,4,-0.43,6,156,73.3,59.6,53.7,64.9,0,0,31,0,26.7,45.5,120.7,16.7,5,1,0,2,3,1,3.2,215,9.0,2025_this_team
Emory Williams,170099,QB,MIAMI FL,4,68.4,19,19,8.0,2.38,0,0,0.0,68.4,13,0,4,0.0,21,0,0.12,7,220,25.9,64.5,59.5,67.7,0,0,21,0,52.4,50.0,93.3,9.5,2,0,0,0,0,1,4.8,156,8.2,arrival_2025_at_MIAMI FL
Mike Wright Jr.,124366,QB,E CAROLINA,3,66.7,6,7,8.0,2.76,0,0,0.0,42.9,3,0,3,25.0,7,1,-0.78,0,156,77.6,68.3,57.7,70.0,0,0,7,0,14.3,0.0,50.3,0.0,0,0,0,1,0,0,0.0,13,1.9,2025_this_team
