player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa,_provenance
Kaidon Salter,132046,QB,COLORADO,9,74.1,185,206,8.9,3.23,3,7,3.2,61.7,127,0,100,7.3,265,10,0.04,83,143,72.3,64.4,54.0,74.3,1,7,277,3,44.9,17.0,84.1,6.4,17,41,1,16,10,12,4.3,1414,6.9,2025_this_team
Julian Lewis,198304,QB,COLORADO,4,67.4,86,96,8.7,3.47,3,6,6.1,56.3,54,0,46,6.9,118,4,-0.27,24,143,73.6,72.1,71.4,61.5,2,0,121,1,32.2,26.1,88.7,10.2,12,10,0,5,4,2,1.7,595,6.2,2025_this_team
Ryan Staub,171906,QB,COLORADO,4,66.0,53,56,10.6,2.74,1,5,8.6,53.6,30,1,21,14.3,73,5,-0.22,17,143,27.1,45.7,46.7,54.6,1,4,76,3,31.5,33.3,66.6,9.6,7,10,1,0,3,7,9.2,427,7.6,2025_this_team
Dominiq Ponder,174401,QB,COLORADO,1,0.0,1,1,5.0,3.3,0,0,0.0,0.0,0,0,1,,2,0,-2.16,0,143,64.4,47.2,50.8,58.3,0,0,2,0,0.0,100.0,39.6,50.0,1,0,0,0,0,0,0.0,0,0.0,2025_this_team
Colton Allen,157725,QB,COLORADO,1,100.0,1,1,-1.0,1.6,0,0,0.0,100.0,1,0,0,0.0,1,0,0.0,0,143,60.3,61.1,61.0,,0,0,1,0,0.0,,83.3,0.0,0,0,0,0,0,0,0.0,4,4.0,2025_this_team
Isaac Wilson,183872,QB,UTAH,1,0.0,1,1,6.0,2.55,0,0,0.0,0.0,0,0,0,,2,0,-1.38,0,328,67.6,29.5,28.6,54.5,0,0,2,0,0.0,,39.6,0.0,0,1,0,0,0,1,50.0,0,0.0,arrival_2025_at_UTAH
