player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,_provenance
Jeremy Payne,183837,HB,TCU,11,110,27,7,31.0,192,0,608,0,13,27,416,114.6,17,30,305,1,59,75.8,77.6,85.2,,29.1,65.8,82.0,59.0,51,0,207,22,173,127,0,0,27,132,5,619,416,3.78,5.6,1.2,48,2025_this_team
Kevorian Barnes,145514,HB,TCU,7,97,23,1,16.9,75,0,443,1,1,23,264,61.0,9,26,305,0,41,87.1,77.3,83.6,,68.4,60.2,79.0,57.7,75,0,48,10,93,108,0,0,13,107,3,443,264,2.72,4.6,0.52,50,2025_this_team
Trent Battle,144683,HB,TCU,13,64,15,5,51.9,181,0,349,1,1,15,211,71.3,11,19,305,0,35,84.3,72.8,23.7,,56.2,49.2,80.8,70.6,65,1,65,10,102,84,0,0,13,74,6,349,211,3.3,5.5,0.64,27,2025_this_team
Jon Denman,199271,HB,TCU,10,50,9,1,9.0,16,0,178,1,1,9,122,46.0,4,16,305,0,21,82.5,69.8,79.3,,52.8,45.2,72.0,59.7,16,0,6,3,23,57,0,0,4,53,3,178,122,2.44,3.6,0.26,27,2025_this_team
Nate Palmer,183835,HB,TCU,6,30,10,2,30.2,42,0,139,1,1,10,107,126.6,4,12,305,0,12,78.9,70.1,77.1,,27.2,42.5,73.6,60.0,26,0,1,1,19,31,0,0,3,31,0,139,107,3.57,4.6,0.05,15,2025_this_team
Franklin Estrada II,144689,HB,TCU,2,1,0,0,0.0,0,0,4,0,0,0,4,0.0,0,0,305,0,0,62.5,57.2,65.7,,,,58.4,60.0,4,0,0,0,0,2,0,0,0,1,0,4,4,4.0,4.0,,1,2025_this_team
