player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Langston Long,151091,LB,TOLEDO,12,12,0,76.9,1,1,316,0,0,61.6,58.5,0.0,46.2,62.9,52.1,0,0,0,0,16,17.0,8,0,3,113.9,10,0,2,320,2,145,360,28,0,0,28,0,0,332,12,203,10,21,27,5,13,0,1,69,36,6.9,2025_this_team
Hudson Miller,162887,LB,TOLEDO,12,6,0,100.0,0,0,316,1,0,59.0,73.5,0.0,67.8,84.6,74.7,0,2,0,0,54,13.3,2,0,1,118.8,4,1,0,109,1,41,115,1,0,0,1,0,0,114,10,64,4,4,7,0,4,3,0,81,80,20.3,2025_this_team
Chris D'Appolonia,171373,LB,TOLEDO,12,16,0,52.0,0,0,316,0,0,85.1,71.1,84.9,57.1,58.8,66.7,3,6,0,0,38,12.7,9,3,0,65.4,13,0,0,482,12,299,638,65,0,0,65,0,5,573,44,295,74,29,46,5,25,9,0,120,65,9.2,2025_this_team
Owen Gibbs,184125,LB,TOLEDO,1,1,0,,0,0,316,0,0,,61.6,68.1,,61.1,73.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,,2025_this_team
K'Von Sherman,184134,LB,TOLEDO,13,20,1,87.0,0,0,316,1,0,43.3,77.5,86.6,76.3,90.1,78.9,3,19,0,0,45,10.1,11,0,1,122.5,20,3,0,633,3,283,686,29,0,0,29,0,1,657,65,338,20,50,78,10,23,25,1,228,170,11.4,2025_this_team
Rickey Williams,189947,LB,TOLEDO,10,1,1,,0,0,316,0,0,57.6,57.0,80.4,63.9,55.4,56.9,0,1,0,0,,14.3,1,0,0,0.0,0,0,0,41,1,21,87,43,0,0,43,0,0,44,6,60,2,4,5,1,0,1,0,0,0,,2025_this_team
Isaac Zay,190139,LB,TOLEDO,7,2,0,0.0,0,0,316,0,0,65.0,73.4,76.8,54.7,77.2,82.2,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,36,0,14,49,9,0,1,8,0,0,40,4,31,3,2,5,0,1,0,0,0,0,,2025_this_team
Maddox Arnold,205430,LB,TOLEDO,1,0,0,,0,0,316,0,0,,32.0,71.4,,35.2,73.6,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,7,0,0,8,1,0,0,1,0,0,7,0,8,0,0,1,0,0,0,0,0,0,,2025_this_team
