player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa,_provenance
Tucker Gleason,122475,QB,TOLEDO,12,77.5,302,325,9.1,2.74,5,18,5.2,64.3,209,0,112,10.7,346,25,0.09,120,316,50.3,90.5,90.4,65.9,4,9,364,4,47.4,8.0,97.9,2.6,9,12,2,12,21,10,2.7,2517,7.7,2025_this_team
Kalieb Osborne,184132,QB,TOLEDO,7,68.8,48,51,7.7,2.95,2,3,5.2,60.8,31,0,30,6.1,75,2,-0.06,24,316,29.6,72.9,62.8,72.6,1,0,82,0,38.7,23.3,105.5,9.3,7,16,0,0,3,3,3.7,406,8.0,2025_this_team
John Alan Richter,156999,QB,TOLEDO,3,80.0,25,25,11.7,2.74,0,1,4.0,68.0,17,0,5,15.0,29,3,0.41,13,316,68.2,73.8,78.7,55.8,0,1,30,1,58.6,20.0,107.2,3.4,1,3,0,0,3,0,0.0,153,6.1,2025_this_team
