player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,_provenance
Coleman Bennett,142986,HB,KENNESAW,14,159,47,12,35.2,266,0,755,1,13,47,550,112.2,22,48,200,0,78,90.4,82.8,86.5,,80.4,79.1,82.6,49.7,30,0,310,26,173,248,0,0,33,185,4,755,550,3.46,4.7,1.79,78,2025_this_team
Chase Belcher,164410,HB,KENNESAW,13,107,29,5,24.5,139,0,567,2,3,29,423,105.4,19,36,200,0,55,87.9,82.2,83.6,,79.3,62.4,84.3,56.8,46,0,194,13,104,152,0,0,16,120,2,567,423,3.95,5.3,1.87,51,2025_this_team
Alexander Diggs,160375,HB,KENNESAW,11,71,14,3,23.6,66,0,280,0,0,14,177,43.1,5,19,200,2,34,46.6,67.2,82.0,,54.2,63.7,67.8,56.8,25,0,49,10,69,98,0,0,12,81,2,280,177,2.49,3.9,0.71,37,2025_this_team
Jonathan Mathis,176722,HB,KENNESAW,1,1,0,0,0.0,0,0,2,0,0,0,2,0.0,0,0,200,0,0,62.5,56.2,60.0,,,,57.7,,2,0,0,0,0,1,0,0,0,1,0,2,2,2.0,2.0,,0,2025_this_team
