player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Keagan Johnson,144848,WR,NEW MEXICO,12,12.4,5,64.5,47.6,10,21,0,6.3,4,-0.01,38,241,0,76.0,75.2,72.5,,73.3,0.0,0,2,80,0.0,0,409,1,42.9,60,91.2,373,14.7,60,92.0,93,3,85.3,349,768,202,3.4,12.8,2.06,2025_this_team
Dorian Thomas,171871,TE,NEW MEXICO,13,6.0,6,72.7,27.3,3,11,0,0.0,0,0.04,26,241,2,92.9,27.9,65.9,53.4,74.4,52.0,199,2,34,8.6,33,383,3,44.5,56,85.6,328,37.6,144,99.5,77,4,9.4,36,560,350,6.3,10.0,1.71,2025_this_team
Troy Omeire,123124,WR,UNLV,14,14.1,2,75.0,42.9,3,7,1,6.3,2,0.33,21,325,0,72.7,71.9,69.8,,70.0,0.0,0,1,68,0.0,0,248,2,52.5,30,95.2,236,7.3,18,145.8,40,5,92.7,230,514,156,5.2,17.1,2.18,arrival_2025_at_UNLV
Shawn Miller,158219,WR,NEW MEXICO,12,15.0,1,65.2,50.0,1,2,0,11.8,2,0.05,11,241,0,60.0,75.0,52.1,62.1,52.4,0.0,0,0,42,0.3,1,347,1,42.5,15,91.4,317,23.6,82,107.0,23,1,76.4,265,199,27,1.8,13.3,0.63,2025_this_team
Cade Keith,189710,TE,NEW MEXICO,13,6.8,1,90.9,100.0,1,1,0,0.0,0,0.02,10,241,0,86.3,70.4,70.3,66.8,76.4,66.3,110,2,45,17.5,29,166,0,44.2,20,76.5,127,23.5,39,116.3,22,3,9.6,16,253,129,6.5,12.7,1.99,2025_this_team
Zhaiel Smith,205216,WR,NEW MEXICO,13,14.0,0,45.0,0.0,0,3,1,10.0,1,-0.07,5,241,0,45.0,68.5,50.3,,48.9,0.0,0,1,43,0.0,0,272,3,39.7,9,92.6,252,59.6,162,43.1,20,0,40.4,110,117,54,6.0,13.0,0.46,2025_this_team
Michael Buckley,156001,WR,NEW MEXICO,6,15.6,2,46.7,25.0,1,4,0,12.5,1,-0.06,4,241,0,61.0,74.4,58.5,,55.6,0.0,0,3,25,0.0,0,177,0,41.6,7,85.9,152,74.6,132,21.7,15,0,24.9,44,73,9,1.3,10.4,0.48,2025_this_team
Simon Mapa,205203,TE,NEW MEXICO,12,6.7,0,100.0,,0,0,1,0.0,0,0.17,3,241,0,73.1,64.1,52.0,62.4,86.2,90.6,48,0,22,79.2,42,53,2,50.0,3,18.9,10,1.9,1,158.3,3,2,5.7,3,42,27,9.0,14.0,4.2,2025_this_team
Joey Olsen,183625,TE,USC,1,5.0,0,0.0,,0,0,0,,0,-0.28,0,326,0,,,47.6,,54.7,50.0,2,0,0,0.0,0,4,0,25.0,0,100.0,4,50.0,2,39.6,1,0,0.0,0,0,0,,,0.0,arrival_2025_at_USC
