player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,_provenance
Evan Dickens,170066,HB,LIBERTY,11,229,38,17,41.3,552,0,1336,0,0,38,840,59.6,32,67,206,1,120,86.8,84.9,56.1,,49.7,58.3,86.9,48.5,95,1,61,5,136,310,0,0,6,234,16,1336,840,3.67,5.8,0.45,109,arrival_2025_at_LIBERTY
Turbo Richard,190199,HB,BOSTON COL,11,145,26,8,40.1,300,0,748,2,12,26,547,81.9,15,47,121,2,96,70.2,72.5,52.2,,36.5,55.0,80.1,54.5,71,1,212,30,251,163,0,0,40,175,9,748,547,3.77,5.2,0.84,48,2025_this_team
Jordan McDonald,158449,HB,BOSTON COL,12,94,18,1,4.3,17,0,397,1,5,18,242,55.3,9,27,121,0,72,86.8,70.0,83.8,,53.5,60.2,72.0,55.3,17,0,84,13,107,107,0,0,17,107,4,397,242,2.57,4.2,0.79,21,2025_this_team
Nolan Ray,170203,HB,MARYLAND,12,67,16,2,28.0,81,0,289,2,3,16,203,73.8,6,16,215,0,32,84.4,72.0,19.5,,52.8,53.8,78.6,58.3,53,1,50,11,98,78,0,0,17,78,2,289,203,3.03,4.3,0.51,34,arrival_2025_at_MARYLAND
Bo MacCormack III,207813,HB,BOSTON COL,5,15,0,0,0.0,0,0,43,0,1,0,23,9.0,1,3,121,0,9,76.5,61.3,76.5,,53.3,63.8,61.0,,14,0,14,2,22,15,0,0,2,17,1,43,23,1.53,2.9,0.64,6,2025_this_team
Alex Broome,126959,HB,BOSTON COL,4,7,1,0,0.0,0,0,10,0,0,1,9,18.4,0,1,121,0,4,72.1,59.1,75.9,,56.4,53.2,61.6,58.6,6,0,0,0,20,10,0,0,0,7,1,10,9,1.29,1.4,0.0,3,2025_this_team
Mekhi Dodd,207809,HB,BOSTON COL,2,7,0,0,0.0,0,0,12,0,0,0,8,0.0,0,0,121,0,6,71.4,49.5,72.0,,,64.9,50.0,60.0,4,0,3,1,2,8,0,0,1,8,0,12,8,1.14,1.7,1.5,1,2025_this_team
Anthony Ferrucci,175337,HB,BOSTON COL,1,4,0,0,0.0,0,0,14,0,0,0,10,0.0,0,1,121,0,3,68.6,59.4,70.0,,70.0,59.9,59.2,60.0,5,0,0,0,1,5,0,0,0,4,0,14,10,2.5,3.5,0.0,1,2025_this_team
